Student
Elke Haase
Senta Warmer
Christel Mangold
Dipl.-Ing. Patricia Werner B.Sc.
James Kostolzin-Haase
Detlef Köster
Dr. Alwina Lorch MBA.
Annekatrin Schleich
Dr. Semra Schulz
Ilias Weiß MBA.
Silja Kraus-Schuster
Dr. Erdogan Fröhlich
Prof. Jürgen Blümel B.A.
Hakan Kühnert
Irmtraud Hauffer-Matthäi
Ellen Hahn-Spieß
Dr. Hildegund Söding B.A.
Ing. Arndt Schäfer
Univ.Prof. Albin Bärer
Ingeborg Wesack
Julius Kraushaar
Gerta Stey-Klemm
Benita Juncken
Dr. Agathe Jähn B.A.
Damian Dörr
Nuray Aumann
Ing. Philipp Textor
Theres Beer
Dr. Elly Junk
Asta Mielcarek-Blümel
Elfie Jäkel
Brit Anders
Rainer Gunpf B.Eng.
Gloria Lachmann MBA.
Svenja Salz
Marit Thanel B.Sc.
Friedericke Käster B.A.
Caterina Ullrich
Univ.Prof. Resi Kobelt
Frau Kordula Geisler MBA.
Kreszentia Bohlander
Elzbieta Hartung
Aloys Ruppert
Mandy Huhn B.A.
Peer Jähn
Frau Anne-Katrin Rädel
Franco Loos B.Eng.
Irmi Zobel
Prof. Folker Trupp B.Sc.
Roselinde Ebert
Roger Wagenknecht
Univ.Prof. Fatima Hiller B.A.
Knut Gorlitz
Kai-Uwe Sorgatz
Ing. Wulf Atzler
Ottomar Hermann
Bruni Freudenberger
Gretchen Pohl
Rosina Ditschlerin-Ortmann
Dorota Wilms
Marcella Franke B.A.
Prof. Clarissa Barth
Dörte Nette
Heimo Ziegert
Frau Wenke Riehl
Herr Tony Lindner
Willibald Ziegert-Siering
Eileen Hartung
Paolo Schmidt B.A.
Folkert Barth B.Sc.
Jonas Adler
Margarethe Steckel
Roy Schmidt B.Eng.
Univ.Prof. Hinrich Eberth
Herr Jens Becker MBA.
Alla Weihmann
Carmen Berger
Mareike Wilmsen
Ing. Margareta Hethur B.A.
Rouven Eberhardt
Eberhard Dobes
Mariana Jüttner
Luciano Wirth
Jennifer Berger
Kaspar Aumann
Salvatore Tlustek
Dipl.-Ing. Nina Boucsein MBA.
Raymond Drub B.Sc.
Anna-Luise Segebahn
Daniel Zänker
Marek Hesse B.Eng.
Elisabeth Roskoth
Hendrik Bolzmann-Henschel
Ludwina Beer
Margarete Mohaupt B.Sc.
Janko Margraf MBA.
Univ.Prof. Markus Schottin
Doris Kraushaar
Nuran Schottin B.Eng.
Karl-Georg Dörschner
Grete Rudolph
Domenico Reichmann
Carlos Klotz
Hedi Bärer
Univ.Prof. Ilka Jäntsch B.A.
Lilli Harloff
Dr. Peggy Beyer B.Sc.
Roderich Ehlert-Henk
Rotraut Ullrich
Nermin Martin
Uwe Sorgatz
Maria Döring B.Sc.
Prof. Wolfgang Mohaupt
Heinz-Georg Hornich
Bernt Conradi
Oscar Nerger
Dr. Herbert Jockel B.Eng.
Prof. Marie-Theres Löffler B.Sc.
Robin Weinhage B.A.
Annerose Eckbauer
Marjan Pölitz B.Eng.
Hildegunde Dörr
Ekaterina Schmiedecke
Danuta Kensy
Ivana Wilmsen-Gumprich
Mariola Gnatz
Henryk Plath-Jopich
Witold Heintze
Gordana Hertrampf-Speer
Frithjof Mielcarek MBA.
Dietlind Albers
Dipl.-Ing. Oskar Vogt B.A.
Mona Wiek B.Eng.
Ann Stumpf
Carla Tintzmann
Semra Fiebig
Ing. Romuald Kreusel B.A.
Eberhard Junitz
Hans-Jochen Stolze
Luciano Tintzmann
Thea Dippel
Univ.Prof. Ladislaus Hande
Blanka Birnbaum
Univ.Prof. Hardy Hartung
Nadia Rosenow
Univ.Prof. Ingelore Schulz MBA.
Fernando Dobes
Edelgard Finke B.Eng.
Brian Ditschlerin
Friedericke Bolzmann
Immo Koch II
Dariusz Wirth
Hannchen Drewes B.Sc.
Prof. Gundula Dörr B.Sc.
Massimo Ernst
Nurettin Mans-Klemt
Heinz-Günter Mülichen
Udo Grein Groth
Ing. Ernst-August Häring
Patric Heinrich
Danica Atzler
Herr David Löchel B.A.
Karl-Friedrich Nerger
Prof. Carina Eimer
Markus Eimer
Hans-Friedrich Heydrich
Sara Heuser
Fatih Zirme
Eva Wende B.Eng.
Frau Constanze Heidrich B.Sc.
Prof. Beatrice Misicher
Emil Preiß-Hecker
Liliana Gehringer
Gerda Sauer
Willibald Holsten
Angelica Lindau-Heß
Univ.Prof. Nadja Jacob B.Eng.
Leopold Weller-Zobel
Prof. Heinz-Josef Radisch B.A.
Magdalena Tintzmann B.Sc.
Gert Juncken
Dipl.-Ing. Emanuel Nette
Anatolij Keudel
Dipl.-Ing. Emmy Börner
Thea Schmiedecke
Rosita Wiek
Andy Mangold
Dipl.-Ing. Cora Baum
Univ.Prof. Gino Wagner B.Sc.
Calogero Heintze
Dipl.-Ing. Albrecht Metz
Andrei Hertrampf-Trommler
Roselinde Kusch-Röhrdanz
Hans-J. Tröst MBA.
Karl-Josef Barth
Jörgen Lorch
Gabi Klapp
Eckart Cichorius
Catrin Weller
Prof. Sibel Wohlgemut B.Sc.
Tabea Kaul
Rotraud Fiebig
Wibke Tschentscher-Wulf
Nadia Herrmann
Cemil Schweitzer
Dipl.-Ing. Dragica Neureuther
Sören Liebelt
Elena Linke-Wohlgemut
Marion Weinhold-Pechel
Constantin Kraus
Dr. Elfie Tintzmann
Ing. Catrin Dippel MBA.
Inge Dehmel
Friedhold Löwer-Ebert
Univ.Prof. Wibke Reinhardt B.Eng.
Marvin Gröttner MBA.
Irmela Höfig B.Sc.
Dipl.-Ing. Traudel Eigenwillig
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Annett Ullrich
Ingelore Heinz
Kevin Trubin
Dipl.-Ing. Annelise Naser
Milos Seifert
Kathrin Johann-Schulz
Christos Gumprich
Elizabeth Budig
Ottomar Kraus
Friedrich-Karl Zorbach
Fadime Reinhardt MBA.
Ingried Ullmann
Philippe Wähner
Michelle Klingelhöfer B.Eng.
Univ.Prof. Dorle Fröhlich
Zeljko Hiller-Misicher
Ing. Karin Werner
Ing. Paul-Heinz Geißler
Ing. Iwan Wagner
Malte Herrmann-Zänker
Helen Hahn
Senta Hiller
Denis Etzold
Hans-Jörg Lachmann
Peggy Haering B.Sc.
Wulf Caspar
Melita Schleich
René Kruschwitz
Dr. Trude Ziegert B.A.
Wolf-Dieter Eigenwillig
Timo Butte
Paolo Wernecke
Enver Dehmel
Albina Heinz
Michaela Hecker B.Eng.
Ing. Marleen Hölzenbecher MBA.
Mary Reuter B.Sc.
Prof. Gunter Mentzel
Ing. Gabriella Bähr
Othmar Weinhage MBA.
Gerold Schuchhardt B.Sc.
Univ.Prof. Josefine Gerlach
Bayram Meister
Liesbeth Huhn
Martine Zobel
Siegrid Schmiedt
Gregor Jungfer
