Student
Annerose Eckbauer
Mechthilde Lindau B.A.
Johann Reuter
Stavros Vollbrecht-Geißler
Franz-Peter Preiß B.A.
Nicolas Möchlichen MBA.
Dr. Halina Haase
Ing. Karl-Dieter Stroh
Univ.Prof. Immo Mangold
Prof. Pedro Schmidt B.Eng.
Bodo Kranz-Striebitz
Dr. Inna Mude MBA.
Wolf-Rüdiger Börner
Klara Schlosser
Frau Theodora Hettner B.A.
Angelina Noack-Wagenknecht
Hans-Uwe Noack-Fröhlich
Ingolf Ruppersberger-Berger
Olga Albers B.Sc.
Stanislaw Misicher
Gudula Stroh-Bien
Necati Lindner
Roy Holt
Kuno Dussen van
Dana Köster
Ismail Koch
Ing. Bianka Bärer MBA.
Irmi Täsche B.A.
Bertold Schenk
Hans-Joachim Häring
Univ.Prof. Gisa Meister
Prof. Ullrich Rosenow B.A.
Hans-Wilhelm Weller
Kenan Pieper
Univ.Prof. Ottfried Scholl
Nadeshda Mentzel
Paula Stroh
Linda Ziegert-Junken
Oliver Bien
Marianne Ernst-Zirme
Pawel Schlosser
Roy Gumprich-Klemm
Frau Ivanka Killer MBA.
Sieghard Hahn
Alexa Dietz
Jacek Täsche
Philipp Killer B.A.
Anneli Butte
Frau Carola Scheibe MBA.
Orhan Wieloch
Evangelos Ring-Schmiedecke
Ria Walter
Pamela Mies B.Eng.
Klaus-Ulrich Gude
Ilija Hofmann
Dittmar Hövel
Beatrix Scheibe B.Sc.
Ellinor Schmidtke B.Sc.
Dr. Mario Lorch
Zehra Conradi-Heinrich
Hertha Caspar MBA.
Rosemarie Hethur
Gesche Kühnert
Univ.Prof. Harriet Heintze
Ronny Dippel
Elfi Wesack
Michel Heß
Ing. Carolin Faust B.A.
Kristina Scheibe
Anneke Jähn
Siegmund Heidrich
Hans-Bernd Trupp
Ing. Elenore Kostolzin
Univ.Prof. Romana Hiller
Karl-Georg Sontag B.Sc.
Claire Rogner-Scheel
Dr. Leila Gunpf B.Sc.
Ekaterina Conradi
Prof. Ada Wähner
Sinaida Ruppersberger
Janina Faust MBA.
Dorothee Renner
Dietlinde Söding
Roswita Hofmann MBA.
Marianna Etzler
Prof. Liliana Klemm MBA.
Domenico Kade B.A.
Annamaria Margraf
Hans-Bernd Rose
Prof. Klaas Geißler B.A.
Univ.Prof. Nikola Graf MBA.
Gunhild Meister
Mia Roskoth
Renate Franke B.A.
Karl-August Döhn B.A.
Sinaida Heinz-Gnatz
Berit Pärtzelt
Univ.Prof. Kathi Noack B.Eng.
Herr Jens Becker MBA.
Nikola Kitzmann
Aenne Mende B.Eng.
Hans-Karl Rust MBA.
Dipl.-Ing. Eberhardt Fechner
Matteo Beyer B.A.
Nada Butte
Brita Flantz-Knappe
Nora Dehmel B.Eng.
Moritz Roht
Prof. Georgia Zirme MBA.
Gundula Ruppersberger
Ronald Werner
Univ.Prof. Amalie Warmer B.Eng.
Ing. Hans-Joachim Ullrich
Heidemarie Junitz
Gundi Sager
Galina Kraus-Hermighausen
Zenta Mende
Fernando Dobes
Beate Nette
Helmar Klapp
Peggy Sauer
Frau Käthi Hamann B.Eng.
Univ.Prof. Willfried Werner B.Sc.
Gerhild Beyer
Gertrude Gumprich
Ullrich Preiß
Madeleine Henk
Hansjoachim Kraus-Beer
Darius Klotz
Jürgen Herrmann-Koch
Cilli Lindau B.A.
Heinz Dieter Zirme
Marek Adler
Irmtraud Ladeck
Kurt Thanel
Gebhard Sauer
Rolf-Dieter Jacobi Jäckel-Nerger
Albin Schuchhardt
Harro Vogt-Gieß
Witold Wulf
Vittorio Harloff
Meta Harloff
Willibald Holsten
Univ.Prof. Niklas Mohaupt MBA.
Prof. Ivonne Boucsein B.Eng.
Dipl.-Ing. Petar Wohlgemut
David Faust-Holsten
Ditmar Dehmel
Dipl.-Ing. Kevin Henk B.A.
