Student
Milos Trüb
André Röhrdanz B.A.
Friedhold Löwer-Ebert
Mike Matthäi
Kriemhild Gude
Univ.Prof. Sahin Freudenberger B.A.
Fritz Nerger
Marlen Gute-Hauffer
Mathias Matthäi
Rosita Möchlichen-Stumpf
Cäcilie Haase
Hans-Joachim Häring
Hans-Erich Warmer B.A.
Marica Seidel B.Eng.
Radmila Kraus-Schacht
Dr. Jeannine Schleich B.Sc.
Ing. Nuran Schaaf
Herr Hanno Hesse
Emine Haase B.A.
Inna Weinhage
Dipl.-Ing. Cynthia Hauffer B.A.
Wieslaw Lachmann
Prof. Alida Mangold MBA.
Guenter Lachmann
Sandy Römer-Bien
Eberhardt Gute
Aloys Barkholz
Oliver Kohl
Vinko Schmiedecke-Hendriks
Gotthilf Bohnbach-Seip
Tomas Gröttner
Dipl.-Ing. Stefano Wernecke B.A.
Magarete Schomber
Raymond Löchel-Ziegert
Univ.Prof. Babette Kitzmann
Florian Finke
Burghard Albers-Berger
Rolf-Peter Rosenow MBA.
Nikolaus Fiebig
Steve Scholl-Ladeck
Fredi Huhn
Hanns Ehlert MBA.
Tomasz Niemeier
Zofia Schönland B.Sc.
Dr. Hedda Radisch
Marc Heintze B.A.
Herr Thorben Jacob
Pero Römer
Ottmar Hölzenbecher
Alina Finke
Univ.Prof. Mirella Peukert
Reni Roht-Binner
Hans-Detlef Schäfer
Jerzy Hermighausen-Lübs
Willi Birnbaum
Annamaria Kade-Fischer
Angelica Lorch B.Eng.
Melissa Dietz
Irmi Jüttner
Vesna Wähner
Hans-Helmut Binner B.Sc.
Frau Annegrete Junk B.A.
Anne Schmidtke
Hanife Ackermann
Birgitt Seip-Klemm
Gilbert Peukert B.Eng.
Dittmar Berger
Univ.Prof. Marko Schmiedecke MBA.
Univ.Prof. Antoinette Wende B.A.
Edmund Gnatz-Rogner
Hardy Wende B.Sc.
Dr. Gudula Scheuermann
Roy Holt
Ing. Arndt Schäfer
Joseph Austermühle
Elwira Hellwig
Mona Söding
Inken Ziegert
Karl-Georg Lehmann
Angelique Kruschwitz
Abraham Carsten
Jeannine Gieß
Damaris Zirme
Agnes Tröst
Carina Hövel
Heidelore Pärtzelt MBA.
Judith Boucsein-Aumann
Willy Reichmann
Herr Rigo Krebs B.Eng.
Liesbeth Huhn
Carina Kusch
Dr. Caroline Ortmann
Charlotte Hecker B.Eng.
Malte Schäfer
Dolores Stey-Matthäi
Gülten Röhrdanz
Ing. Anastasios Berger
Prof. Gertrude Renner B.A.
Hans-J. Hahn-Süßebier
Rüdiger Bien-Hübel
Evelyne Beyer
Hans Georg Niemeier
Lutz Mies-Hesse
Malte Kallert-Möchlichen
Univ.Prof. Hiltrud Löwer
Gesine Graf
Hans-Herbert Walter
Gerold Thanel
Karl-Ludwig Bolnbach
Alwina Hettner
Tibor Köhler-Schönland
Franz-Josef Kohl
Maria-Theresia Tschentscher
Marleen Austermühle-Tintzmann
Friedrich-Wilhelm Stahr-Henck
Jessica Stumpf
Ing. Wencke Speer
Wilfried Steinberg
Hans D. Schenk
Trudi Kranz B.Eng.
Rafael Blümel
Wilfried Radisch
Herr Gunther Flantz
Dipl.-Ing. Theda Weinhold B.Eng.
Univ.Prof. Betty Conradi B.A.
Dipl.-Ing. Hans-Günther Bien
Berndt Grein Groth B.Sc.
Jann Cichorius
Prof. Goran Sölzer MBA.
Thoralf Eimer
Holger Röhricht
Franz Josef Haase
Paul-Gerhard Jungfer B.Eng.
Sigurd Lange-Seifert
Klara Schlosser
Evangelos Staude
Joachim Höfig
Pawel Peukert-Rörricht
Marlen Jacobi Jäckel B.Eng.
Fatima Rörricht
Nicolaus Seifert B.A.
Mariola Tlustek MBA.
Oscar Reinhardt B.A.
Arnulf Zimmer-Seifert
Greta Baum
Dr. Ian Grein Groth
Slavica Koch
Christiana Bauer
Univ.Prof. Cläre Weihmann B.A.
Claire Junk
Prof. Urs Täsche
Maike Bolnbach
Yvette Süßebier
Lars Kallert
Gertrude Lehmann-Kostolzin
Friedericke Lehmann B.Sc.
Ilja Kitzmann B.A.
Semra Gorlitz
Jost Lindau
Marlene Heuser-Trub
Dipl.-Ing. Konrad Schenk
Ferdi Hoffmann
Julie Schweitzer
Hans-Bernd Trubin-Klemt
Karolina Reuter-Freudenberger
Prof. Heide Krebs
Klaudia Löffler-Zorbach
Anna-Lena Wohlgemut
Jerzy Wagenknecht B.A.
Ing. Massimo Losekann
Dr. Annelene Hamann
Markus Eimer
Elias Gierschner
Freia Hofmann
Isidor Atzler
Hans-Jochen Mude
Klaus-Werner Jäkel-Holsten
Prof. Eckhart Jockel B.Eng.
Paolo Schmidt B.A.
Piotr Schaaf
Hansgeorg Kruschwitz
Ulrich Segebahn
Wieslaw Käster
Felizitas Becker-Mosemann
Prof. Gertraud Drewes
Nikolas Ebert
Phillip Rosemann-Bachmann
Dr. Gerold Dörschner
Gregor Buchholz
Heinz-Otto Wende
Herr Gundolf Barth
Dr. Saban Hoffmann B.Eng.
Valeri Tschentscher
Dorothea Etzler
Prof. Trude Schäfer MBA.
