Student
Susann Haering
Milka Wohlgemut-Meyer
Dipl.-Ing. Friedhilde Hauffer B.A.
Anica Austermühle
Sebastian Aumann
Jolanda Rose
Margareta Lübs-Vollbrecht
Friedrich-Wilhelm Roht-Wiek
Margareta Schmidt
Sieglinde Stahr
Dipl.-Ing. Gertraut Stolze
Frau Monique Wesack B.Eng.
Prof. Janos Werner B.Eng.
Univ.Prof. Dogan Mielcarek
Ben Zahn
Catherine Cichorius
Hans-Günther Etzold
Kay-Uwe Barkholz
Maurizio Mans-Ullmann
Dina Hartung
Marica Walter
Karl-Friedrich Kitzmann
Iris Ullrich
Herr Francis Scholtz
Paulina Oderwald
Konstantin Eimer-Lehmann
Reimer Kitzmann
Aloys Fechner
Univ.Prof. Natalie Noack MBA.
Christina Geisel-Hesse
Magdalena Löwer B.Eng.
Horst Reising
Univ.Prof. Florentine Schomber B.Eng.
Gülten Peukert
Henry Schüler B.Eng.
Heinrich Dippel
Univ.Prof. Annegrete Holt
Celal Seifert
Gotthold Krause
Christiane Mentzel
Arnulf Säuberlich
Oscar Nerger
Janusz Eberhardt MBA.
Antonina Pärtzelt-Gerlach
Elwira Hellwig
Ing. Hulda Schaaf
Dolores Atzler B.A.
Dipl.-Ing. Janet Ruppersberger
Ellen Haase
Romuald Hartmann
Univ.Prof. Edmund Mentzel B.Eng.
Zehra Ernst-Bohnbach
Herr Gustav Noack
Prof. Gülay Birnbaum
Dr. Trude Ziegert B.A.
Albin Budig
Sylwia Bolander
Ralph Jessel B.A.
Lena Ernst-Schenk
Hans-Karl Christoph-Schleich
Wolf Stadelmann
Willibald Seidel
Semra Fiebig
Janet Johann B.A.
Prof. Nikolai Gunpf
Janina Seifert
Peer Grein Groth-Lange
Hanna Jäntsch MBA.
Dipl.-Ing. Adem Gerlach
Ehrenfried Stiffel
Dipl.-Ing. Helma Heuser B.Sc.
Gerhardt Barkholz B.Eng.
Prof. Marie Plath
Reni Henk
Gudrun Geisler
