Student
Friedrich-Wilhelm Höfig-Johann
Ilona Roskoth-Bolander
Erica Holsten
Geza Hertrampf B.A.
Dr. Jann Wesack B.A.
Ing. Gabriella Bähr
Felix Freudenberger
Melanie Scheel B.A.
Klemens Winkler
Thorben Kitzmann
Herr Ronny Tröst B.Sc.
Sylvie Neuschäfer
Meral Liebelt
Friedo Ritter
Univ.Prof. Manuela Heinrich
Helmar Klapp
Justina Zirme
Herr Jens Becker MBA.
Marietta Geißler
Albina Heinz
Prof. Marija Seidel
Hans-Jürgen Klemm
Wolfhard Kensy
Dr. Daniela Linke MBA.
Svetlana Schenk-Barth
Ernst-Otto Heß-Hartmann
Songül Tschentscher
Herr Götz Süßebier
Roderich Ehlert-Henk
Marita Berger B.A.
Ada Kreusel
Helene Keudel
Cora Stumpf-Gunpf
Cosimo Girschner
Dipl.-Ing. Angelina Mälzer B.Eng.
Dorit Ebert
Traugott Textor-Wagenknecht
Prof. Tilmann Franke B.Sc.
Ing. Dietlind Gieß
Aenne Sölzer B.A.
Dr. Sandra Mangold B.Sc.
Univ.Prof. Birger Weihmann MBA.
Anne-Katrin Lorch
Domenico Reichmann
Ing. Hans-Wolfgang Weitzel B.Sc.
Emma Briemer
Brita Kaul
Hans-Gerd Holt
Frau Beatrix Bonbach B.A.
Adrian Trupp
Klaus Dieter Weimer-Hein
Elli Meister
Jane Reuter
Steven Eimer
Johannes Bärer
Andy Jockel B.Eng.
Torsten Schwital-Gude
Hulda Neuschäfer B.A.
Hilmar Ziegert
Jasmina Koch MBA.
Fredy Birnbaum-Kensy
Prof. Emine Wulf B.Eng.
Helge Ladeck MBA.
Hans-Bernd Zorbach
Judith Koch-Mude
Konstantinos Linke B.Eng.
Curt Mühle
Ivanka Berger-Kraus
Sibel Weller
Univ.Prof. Hugo Martin
Carsten Junken
Nicolas Möchlichen MBA.
Stefano Wagenknecht
Marion Wohlgemut B.A.
Meike Berger
Rebecca Börner
Ernst Gunpf-Naser
Gundula Adler-Bien
Wiltrud Dietz
Dagobert Hornig
Prof. Rolf-Dieter Fiebig MBA.
Annelene Möchlichen-Weiß
Ing. Herwig Drub MBA.
Wally Kreusel
Ernst Koch II-Graf
Wieslaw Käster
Hans-Karl Bauer B.Eng.
Univ.Prof. Albin Bärer
Dr. Mirko Langern MBA.
Annelise Jungfer
Emilie Bolander
Günter Wiek B.A.
Oda Berger
Prof. Marian Gerlach
Marie-Louise Wulff
Liesbeth Junck-Benthin
Prof. Jan-Peter Schmidt
Univ.Prof. Johan Lange
Jolanta Kühnert
Gretchen Jessel B.Sc.
Heinrich Kramer
Ing. Edeltraud Zirme
Berndt Riehl-Bohlander
Univ.Prof. Clara Heidrich B.Sc.
Sylwia Wilmsen-Ullmann
Dr. Hans Jörg Zobel
Norbert Niemeier
Ing. Tanja Scheibe B.Eng.
Univ.Prof. Claudio Schmiedt
Jutta Franke-Rosenow
Senta Schmiedecke
Ivana Wilmsen-Gumprich
Torben Schweitzer
Fatima Rörricht
Klaus-Jürgen Jockel
Alicja Pergande
Susanna Jäntsch
Lorenz Schwital-Stadelmann
Carl-Heinz Kraus
Prof. Ana Textor
Lilli Harloff
Prof. Manuela Schleich B.Sc.
Dipl.-Ing. Tomislav Dowerg B.Eng.
Ing. Carla Ziegert B.Eng.
Maria Hellwig
Mariana Jüttner
Johann Seidel
Undine Dehmel
Trudel Bloch
Univ.Prof. Jaqueline Dehmel
Kordula Dobes-Buchholz
Univ.Prof. Gusti Schlosser
Silke Heydrich-Albers
Magdalena Warmer MBA.
Annekatrin Schleich
Lidwina Sorgatz-Weihmann
Belinda Huhn
Alois Knappe
Francoise Dippel B.Eng.
Heidemarie Köhler
Zeljko Meyer
Zeynep Keudel
Gislinde Lehmann
Aenne Hübel-Mühle
Univ.Prof. Herlinde Klotz
Dusan Zahn B.A.
Annette Schwital
Micha Albers-Wilms
Herr Roderich Hauffer
Josefa Junk
Dr. Czeslaw Neureuther
Frau Chantal Ebert B.Eng.
Valeria Mende
Univ.Prof. Gundi Koch B.A.
Marisa Wagenknecht
Nikolai Mohaupt
Anatolij Steinberg
Ewa Bolnbach-Textor
Marco Schinke B.Eng.
Dipl.-Ing. Mariola Lange B.Sc.
Edelgard Finke B.Eng.
Calogero Seip
Friedhilde Dobes
Gloria Bruder B.A.
Danilo Ladeck-Köhler
Sylvia Schäfer
Prof. Heinz-Willi Lindau MBA.
Klaus-D. Hövel
Manuel Hering-Jäntsch
Thilo Patberg
Jane Patberg
Hans-Adolf Römer-Jäntsch
Claus Butte
Cläre Bruder-Hentschel
Angela Stiffel
Maximilian Pohl B.A.
Reza Misicher
Ferdinand Junitz B.Eng.
Hans-Gerhard Staude
Liliana Davids
Kristian Meyer
Prof. Sylvio Gumprich
Hans Dieter Stahr
Dipl.-Ing. Rigo van der Dussen B.Eng.
Dipl.-Ing. Götz Bloch
Siegmund Schleich MBA.
Halil Löwer
Ing. Luisa Oestrovsky
Paula Heinz
Kati Süßebier
Zeynep Lehmann
Ing. Daria Lorch B.A.
Hans-Herbert Eckbauer
Herr Rupert Jüttner MBA.
Herta Weitzel
Inka Hornig B.A.
Rosa Hübel
Peer Nohlmans B.Sc.
Adalbert Ullmann
Alina Finke
Hildegunde Staude
Marianne Hecker
Lieselotte Dussen van MBA.
Aribert Putz
Ing. Georgia Rogner
Univ.Prof. Wolf-Rüdiger Klotz B.Sc.
Ulla Fliegner-Sölzer
Francoise Rust
Ing. Erica Schottin
Frau Anny Niemeier B.A.
Dipl.-Ing. Valeria Kühnert MBA.
Viktoria Trub-Budig
Edda Gertz B.Eng.
Carmelo Stiebitz
Polina Hettner
Irmgard Liebelt
Herr Julian Gotthard B.Eng.
Dagmar Koch
Hanspeter Davids
Gerold Schuchhardt B.Sc.
Prof. Beatrice Misicher
Gordon Klemt-Rörricht
Ing. Hellmuth Scholl
Kornelius Heintze-Baum
Friedrich-Wilhelm Metz
Univ.Prof. Gottfried Süßebier
Katerina Drubin
Wilma Röhrdanz
Salih Eckbauer-Renner
Marlies Seifert-Roht
Ioannis Junck
Nikolai Rädel-Klemt
Gilda Segebahn
Dipl.-Ing. Alexandros Weinhold
Ing. Svenja Aumann
Rouven Ziegert
Ortwin Scholl
Friedo Lorch
Bayram Kostolzin-Rosenow
Theres Beer
Ismail Steinberg
Götz Budig
Sibilla Bachmann
Engin Schenk
Jasmina Rudolph
Hans-Helmut Eimer MBA.
Hans-Bernd Rose
Kriemhild Jähn
Univ.Prof. Gino Wagner B.Sc.
Dorit Köster
Rosa Gnatz
Univ.Prof. Aleksander Wiek B.A.
Ehrentraud Meyer MBA.
Ralph Jacobi Jäckel
Ernestine Karz
Stanislaus Davids MBA.
Sandro Täsche
Tilman Eberhardt
Leopoldine Butte
Adam Seifert
Melitta Salz
Vincenzo Lübs
Burkard Schlosser
Prof. Emil Kruschwitz
Ing. Maren Schenk
Univ.Prof. Fatima Faust B.A.
Herr Hermann-Josef Lehmann B.A.
Ina Christoph B.Sc.
Hülya Conradi
Raissa Gehringer-Putz
Univ.Prof. Gunda Höfig
Guido Wagenknecht-Kallert
Emmi Adolph
Ria Dietz
Univ.Prof. Marc Schmiedt
Lena Losekann
Miriam Haering
Univ.Prof. Klaus-Günter Renner B.A.
Univ.Prof. Dorina Lange
Dipl.-Ing. Jaroslav Henk
Fredi Wilmsen
Sandy Haering
Torsten Pergande
Karoline Hübel
Ing. Anastasios Berger
Prof. Frithjof Binner
Alban Butte
Alena Holzapfel
Frau Annita Beckmann
Anastasia Gunpf
Dipl.-Ing. Ingolf Krein
Monja Weiß
Dipl.-Ing. Ira Röhricht B.Sc.
Herr Tony Lindner
Hans-Jörg Lachmann
Arif Heinrich
Frau Swantje Heinrich B.A.
Liane Kambs
Janko Margraf MBA.
Herr Evangelos Schacht
Walfried Klotz-Klotz
Conrad Killer
Falk Sorgatz-Ortmann
Prof. Gerda Barkholz MBA.
Marietta Heinrich
Ing. Marlene Wirth B.Sc.
Felicitas Biggen
Mark Schottin B.Eng.
Herr Frank-Peter Jopich
Dagobert Bohnbach
Dr. Siegfried Heinz B.Eng.
Sandor Ritter
Margrit Förster
Siegmar Mies-Baum
Frau Ingried Rogner B.Sc.
Bogdan Steckel B.Eng.
Maria-Theresia Scholl
Dominik Spieß
Elzbieta Beier
Siegrid Bachmann-Schaaf
Univ.Prof. Diethard Klotz
Hans-Heinrich Schüler-Seip
Anatol Hübel
Calogero Wagner
Hannes Patberg
Luigi Wähner
Dipl.-Ing. Apollonia Steuer
Olivia Thies B.A.
Willibald Seidel
Dipl.-Ing. Bodo Junk B.Eng.
Ing. Paolo Meister
Siegbert Conradi
Lili Döhn-Margraf
Hannelore Rädel-Keudel
Friedlinde Mühle B.A.
Ing. Felicia Dörschner B.Sc.
Dörte Dobes-Bonbach
Heinz-Georg Hornich
Ing. Claire Hübel
Wilma Matthäi
Engin Johann-Weihmann
Vitali Junken
Karlfried Sorgatz
Celal Mühle
Erwin Weimer-Bohlander
Delia Hande-Koch
Wolf Stadelmann
Dipl.-Ing. Katarina Schmidtke
Univ.Prof. Heinrich Knappe B.A.
Emma Trub-Scheuermann
Prof. Constance Austermühle B.Sc.
Sofie Staude
Erdal Meyer B.A.
Dipl.-Ing. Giuseppina Etzler B.Sc.
Joachim Süßebier
Danuta Kreusel
Ingetraud Fiebig
Maja Jungfer
Olav Margraf
Irmgard Hövel
Alwine Wirth-Klemm
Gino Häring
Alwin Scholl
Gino Hövel B.Sc.
Magda Geißler
Marina Wilmsen
James Kostolzin-Haase
Hilde Walter
Gülsen Junck
Dorothea Etzler
Eckehard Mude
Meral Bolnbach
Klaus Dieter Stoll-Wilms
Krista Gertz B.Eng.
Karl Heinz Eigenwillig
Dipl.-Ing. Petar Lübs
Thilo Tschentscher
Pero Gutknecht
Herr Karl-Heinrich Eberth B.Sc.
Inka Trub
Aleksandra Benthin
Margit Walter
Lidija Trapp
Damaris Holsten-Schleich
Lene Sauer
Irmengard Sauer
Ioannis Klemt
Therese Neureuther
Ricarda Steuer
Moritz Holzapfel
Univ.Prof. Undine Junken MBA.
Ulrich Schlosser
Ekkehart Kreusel
Leonardo Rogge
Eckhard Sölzer
Niko Butte-Rosenow
Eleonora Gehringer
Ronny Scholtz
Mark Sauer B.A.
Lene Hermann-Kaul
Herr André Scholl B.Sc.
Univ.Prof. Undine Jungfer
Adem Mühle-Ruppert
Dipl.-Ing. Ante Rust
Gudula Holzapfel
Prof. Niko Atzler B.Sc.
Mirko Bolander
Karlfried Zahn B.A.
Marie-Luise Staude-Käster
Czeslaw Jacobi Jäckel-Zahn
Albert Butte
Roger Gunpf-Paffrath
Katerina Barkholz
Rosalia Heydrich
Gerda Schleich
Ingetraud Austermühle-Dowerg
Murat Linke
Hanni Dippel-Heser
Ullrich Preiß
Martina Salz-Sorgatz
Kaspar Hänel
Univ.Prof. Jeanette Girschner B.Sc.
Detlev Weihmann-Schäfer
Rosita Peukert-Scheibe
Raymund Koch II-Margraf
Cora Scholtz
Ludwig Reinhardt
Dr. Klothilde Lachmann B.A.
Carsten Wieloch-Kranz
Osman Liebelt
Cemal Hamann
Anne-Katrin Rogge
Bodo Finke
Dipl.-Ing. Matteo Baum
Thorben Stiebitz
Bernard Losekann
Dörthe Mitschke-Holt
Agathe Jäntsch-Käster
Regina Wende
Dipl.-Ing. Mareike Noack B.Sc.
Fernando Reising
Nathalie Langern
Caren Neureuther
Dipl.-Ing. Agatha Pruschke
Dr. Semra Wagenknecht
Prof. Marion Scholz
Jolanta Döring
Robert Herrmann
Herr Leonid Fröhlich B.Eng.
Ing. Hans Peter Schenk B.A.
Ing. Roman Tröst
Justine Lindner
Imre Sauer
Sigismund Junitz
Meike Rosenow
Otto Lindner
Rose Henschel
Reinhard Zänker
Dr. Anika auch Schlauchin B.Sc.
Gudrun Rörricht
Hans-Wolfgang Harloff
Ing. Hans Jürgen Häring
Burkhardt Holt
Dr. Myriam Häring
Univ.Prof. Ewald Rogner B.Sc.
Prof. Mahmut Barth B.A.
Edelgard Gnatz-Dobes
Lissy Dippel
René Ehlert
Dina Schmiedt MBA.
Dorothea Kroker-Misicher
Ruthild Juncken B.Sc.
Henri Wilms
Henriette Ladeck
Univ.Prof. Agathe Steinberg MBA.
Julia Graf
Ing. Berta Oestrovsky B.Eng.
Hannchen Löwer B.Eng.
Kasimir Albers-Stiebitz
Hanny Martin
Janin Höfig B.A.
Frederik Rust
Ing. Wenke Karge B.Sc.
Mareen Mies B.Eng.
Kunigunde Ziegert
Ing. Marie-Therese Seifert
Dr. Zeki Eberth
Dorina Weinhage
Kristina Röhricht
Dr. Valeri Sölzer B.Sc.
Berend Rörricht
Dr. Jane Kostolzin
Dipl.-Ing. Frederik Rörricht B.Sc.
Marvin Gröttner MBA.
Karl-Heinrich Schüler
Stefano Atzler
Ercan Oestrovsky B.Eng.
Egon Haase
Krzysztof Mülichen
Franz Ortmann B.Eng.
Thea Dippel
Chantal Kramer
Univ.Prof. Marita Pohl
Prof. Heinz-Willi Hertrampf
Philip Fritsch
Frau Dora Rosemann B.A.
Herr Guido Knappe B.Eng.
Andrei Wulff
Wally Anders B.Eng.
Reni auch Schlauchin
Dogan Rogge
Irmengard Eckbauer
Univ.Prof. Tabea Dörschner MBA.
Conny Metz
Klaus-Ulrich Blümel B.A.
Anatolij Keudel
Nadja Geisler
Dr. Gabriel Freudenberger MBA.
Petra Wagner
Dogan Ruppersberger
Evangelia Harloff B.A.
Sonia Gorlitz-Mude
Insa Peukert
Jonas Beyer
Rahel Stey
Hans-Jochen Mude
Imelda Geißler
Leonhard Patberg
Harro Trapp B.Eng.
Karl-Ernst Drewes-Drubin
Siegrid Segebahn
Philipp Ernst
Dr. Margita Stiebitz
Giesela Börner B.Eng.
Gerold Thanel
Irmi Gute
Frau Anna Mangold B.A.
Almut Trupp
Hildburg Tlustek
Heino Römer
Evelyn Ortmann
Annaliese Gute
Mara Vollbrecht B.A.
Milan Weiß-Schuchhardt
Hans-Albert Schwital
Ekrem Zänker
Ing. Czeslaw Geisel
Urs Ebert
Kati Koch II
Linda Kruschwitz
Marcella Holzapfel
Hans-J. Neureuther
Fatima Weinhage-Boucsein
Albrecht Caspar
Gilda Scholz
Heinz-Werner Briemer B.A.
Dipl.-Ing. Wilfriede Bruder
Jeannine Lehmann
Cecilia Gertz
Tibor Schleich
Claus-Peter Flantz
Hans-Uwe Noack-Fröhlich
Univ.Prof. Harro Fröhlich
Louis Loos B.Eng.
Univ.Prof. Josefine Gerlach
Dietlinde Käster
Bozena Meyer
Stjepan Hofmann-Hethur
Ahmed Lange MBA.
Gülten Peukert
Ing. Magda Jäntsch
Woldemar Heinz
Dipl.-Ing. Maik Mende B.Sc.
Dipl.-Ing. Petar Wohlgemut
Johann Baum
Jeannette Schleich
Dipl.-Ing. Rouven Kallert MBA.
Nadeschda Hande
Luzie Renner B.A.
Gunhild Nohlmans
Alfred Weinhage-Stiffel
Karen Grein Groth-Dörschner
Prof. Juliane Henck MBA.
Katharine Mohaupt-Heuser
Jörg-Peter Christoph
Urszula Killer B.A.
Eric Briemer
Dr. Mariusz Beckmann
Dipl.-Ing. Charles Täsche
Alida Tröst
Magarete Schomber
Jan Gumprich
Sofie Fiebig-Hermighausen
Ing. Rosalinde Rogner MBA.
Virginia Eigenwillig
Siegmar Ullmann-Fritsch
Josefa Hauffer
Dipl.-Ing. Karina Kambs MBA.
Mohammed Ritter
Almuth Rosenow-Schönland
Mark Lindau
Fatma Hein
Jörn Trupp MBA.
Guido Junck
Marcella Franke B.A.
Daniele Hering
Bruni Meister B.Sc.
Diethard Gude
Edmund Junck
Gilda Rohleder
Inna Weinhage
Elizabeth Schlosser B.A.
Univ.Prof. Leif Süßebier B.A.
Ilka Zimmer-Wesack
Valeria Finke
Patrick Wohlgemut
Horst Hauffer B.Eng.
Joana Mielcarek B.A.
Karl-Heinz Buchholz
Burckhard Margraf
Vladimir Patberg-Weller
Detlev Stadelmann
Mariusz Adler
Wolf-Dieter Sölzer-Putz
Ing. Chantal Schleich B.Eng.
Dr. Lieselotte Blümel B.A.
Ing. Aldo Radisch
Rosina Otto
Friedrich-Karl Zorbach
Heinz-Jürgen Adolph
Gisa Atzler
Arzu Ullrich
Dipl.-Ing. Amanda Striebitz
Ramona Römer
Magarete Klingelhöfer-Mans
Annie Harloff B.A.
Univ.Prof. Liliana Drub
Mary Hofmann B.A.
Gero Gierschner
Dipl.-Ing. Grete Stiebitz
Prof. Attila Werner B.A.
Oscar Reinhardt B.A.
Senol Heintze-Gerlach
Dorina Weinhold
Justus Lorch
Trudi Keudel B.A.
Dr. Gerhart Käster
Erol Eimer
Sükrü Schüler MBA.
Urte Bolzmann
Eva-Maria Eberth B.A.
Tina van der Dussen
Univ.Prof. Norbert Röhrdanz B.Sc.
Jurij Bärer
Univ.Prof. Alexa Junitz B.Eng.
Dipl.-Ing. Dragica Neureuther
Pauline Bolzmann
Eva-Maria Mies MBA.
Frau Mira Klemm
Insa Karz-Mangold
Gottfried Martin-Martin
Zdravko Jacob
Stanislav Löffler MBA.
Dipl.-Ing. Lilly Boucsein B.Sc.
Monique Stroh
Bayram Hering
Gunnar Hornig
Krzysztof Kruschwitz
Alexa Dietz
Wojciech Losekann-Seidel
Maurizio Hartmann
Prof. Mathilde Segebahn MBA.
Genoveva Gieß
Gaetano Söding
Carmela Lindau
Annita Jähn
Herr Hans-Martin Heuser
Dipl.-Ing. Viktor Scheibe MBA.
Volker Adler
Univ.Prof. Vadim Vollbrecht B.A.
Dipl.-Ing. Engin Jähn B.A.
Heide-Marie Koch II
Bernfried Roht
Tatiana Kade-Rust
Leon Junken
Lilija Kensy
Corinne Berger
Antonie Heser B.Sc.
Siegrun Ring
Elma Heser
Hans-Uwe Sager
Beatrix Rädel MBA.
Hans-Bernd Knappe-Gröttner
Fritz Schenk B.A.
Hans D. Haering
Damaris Zirme
Marlene Steckel B.A.
Univ.Prof. Roman Misicher
Sylvana Hornich MBA.
Edeltraut Anders-Rohleder
Frau Cynthia Bähr B.Sc.
Ann-Kathrin Davids
Bernt Jessel
Anton Gute
Clarissa Wieloch
Benita Hahn-Wieloch
Ing. Pamela Gerlach
Sandra Hornig
Mira Bender
Ingrid Rudolph
Daniela Wernecke-Hölzenbecher
Milka Wohlgemut-Meyer
Prof. Amelie Rose MBA.
Klaus-Peter Zorbach
Ing. Rocco Reuter
Hanspeter Benthin
Ing. Marcel Gute
Kristin Kaul B.Sc.
Mona Wiek B.Eng.
Therese Rohleder
Ing. Wencke Speer
Prof. Patrik Scheel
Immo Ring
Hans-Bernd Zobel
Imke Gieß B.Sc.
Eleni Franke
Univ.Prof. Robby Vollbrecht
Hans-Erich Mende
Gitta Mohaupt
Jan-Peter Grein Groth
Francisco Wirth
Constanze Fechner-Dörr
Korbinian Werner
Ivo Lorch
Dipl.-Ing. Konrad Schenk
Prof. Guenther Margraf B.Eng.
Gretchen Pohl
Marie-Theres Jäkel
Bertha Rose
Gretel Hande
Luitgard Weiß-Rörricht
Univ.Prof. Aloisia Fröhlich B.A.
Univ.Prof. Tilmann Pieper B.Eng.
Kathy Kitzmann
Xenia Hermann
Klemens Thies
Dursun Atzler B.A.
Tino Gnatz
Dipl.-Ing. Jan-Peter Mende MBA.
Lina Hörle
Ansgar Möchlichen-Höfig
Marie Henk B.Sc.
Liliana Zorbach MBA.
Heide Hesse-Bärer
Lilli Atzler
Folker Otto MBA.
Matthäus Eckbauer
Theda Stumpf B.Eng.
Herr Gordon Heintze B.Eng.
Verena Höfig
Suse Hornich
Dipl.-Ing. Elisabeth Wiek
Romuald Kambs MBA.
Dr. Fredy Niemeier
Wilfried Börner
Zoltan Wilms
Dipl.-Ing. Mariana Mohaupt B.Sc.
Linus Schuchhardt
Hansgeorg Klotz
Rafael Blümel
Reinald Gerlach
Carmelo Klapp-Berger
Prof. Klaus-Ulrich Boucsein MBA.
Dipl.-Ing. Gunar Kuhl
Marta Roht B.Sc.
Dipl.-Ing. Emanuel Nette
Ing. Carmine Kroker
Arnfried Lorch B.A.
Herr Karl Dippel B.A.
Gülay Werner
Veronique Eimer
Apollonia Trüb B.A.
Concetta Karge
Swantje Binner B.A.
Prof. Karl-Hermann Pieper B.Eng.
Lidia Franke
Danny Gumprich
Magda Berger B.A.
Edwin Förster-Albers
Marie-Louise Hauffer
Karlfried Rörricht
Thies Blümel
Dietlinde Schönland
Cilli Lindau B.A.
Emilie Kallert-Zorbach
Prof. Lutz Adolph
Rico Cichorius
Fredi Meyer-Weiß
Mirco Barth
Dierk Gunpf B.A.
Univ.Prof. Ditmar Mitschke B.A.
Erol Röhrdanz
Reinhold Schäfer-Eimer
Teresa Schönland
Antonie Ladeck
Birger Klapp
Univ.Prof. Jens Weinhage
Joerg Fritsch-Pieper
Frau Raissa Radisch B.Eng.
Zenta Gertz B.A.
Gabriela Girschner
Heinz Krebs B.Eng.
Rouven Eberhardt
Philip Weller B.A.
Gerwin Salz
Alexej Kohl
Sören Spieß
Pirmin Boucsein MBA.
Thekla Schäfer
Andrei Hertrampf-Trommler
Herr Jens Ritter B.Eng.
Ljudmila Trapp
Melanie Jungfer-Preiß
Olaf Wesack
George Käster-Eberth
Erika Pruschke
Gusti Schleich
Stephen Heidrich
Heide-Marie Beckmann B.Sc.
Solveig Trapp MBA.
Jessica Stumpf
Wiltrud Ladeck MBA.
Filippo Patberg
Heinz-Walter Juncken
Notburga Pechel B.Eng.
Prof. Tobias Börner
Jo Reising
Marika Sager
Dipl.-Ing. Sigrun Neuschäfer B.Sc.
Sylwia Bolander
Cindy Tschentscher
Georgia Trub
Hanspeter Juncken
Josip Stey
Frau Suse Zorbach
Alina Spieß
Sarina Dobes
Dipl.-Ing. Louis Spieß B.A.
Semra Fiebig
Elisa Steinberg
Elsbeth Schmiedecke-Wulf
Frau Ina Schwital B.Sc.
Ottmar Beier
Anika Binner-Löffler
Edgar Rohleder-Fröhlich
Polina Ladeck B.A.
Prof. Mandy Heuser MBA.
Sara Heuser
Janusz Killer
Sibilla Eimer
Harro Keudel
Frau Änne Gunpf B.Sc.
Karl-Heinz Hahn
Susanna Weitzel
Kristiane Steckel
