Student
Ingried Ullrich
Prof. Marion Scholz
Zofia Schulz
Meryem Hänel-Jungfer
Camilla Wiek
Slavko Fliegner B.Sc.
Osman Liebelt
Giorgio Trüb
Jörgen Paffrath B.Sc.
Lore Margraf
Desiree Gierschner B.Eng.
Patrick Pärtzelt-Henck
Adolfine Dippel
Ilija Kohl
Wieslaw Oestrovsky MBA.
Ilija Rosenow
Dipl.-Ing. Nikolaus Conradi MBA.
Constantin Jacob B.Sc.
Stavros Hentschel B.Eng.
Prof. Rosa Kruschwitz B.Sc.
Dr. Theodor Sager
Edda Klemt
Loni van der Dussen B.Sc.
Luzie Schäfer
Veli Rädel
Reimar Pohl
Sabine Gude
Adam Gertz
Friederike Sölzer-Hentschel
Niklas Trubin
Heinz-Walter Juncken
Univ.Prof. Cecilia Scholl MBA.
Lothar Birnbaum
Cemal Klingelhöfer-Otto
Joerg Döhn
Alexandra Butte
Urban Geißler B.A.
Polina Ladeck B.A.
Herr Vladimir Zimmer MBA.
Prof. Ferdinand Gertz B.Sc.
Siglinde Zahn
Irene Stumpf
Frau Ingelore Gertz
Gaby Noack
Univ.Prof. Margitta Wagenknecht B.Eng.
Janus Walter
Dipl.-Ing. Jost Bruder B.Eng.
Bertram Rädel
Nadin Hertrampf-Killer
Thilo Berger
Enrico Drewes
Prof. Sibel Mälzer MBA.
Ottmar Beier
Anka Rohleder
Jeannine Gieß
Sofia Etzler B.Eng.
Reinhold Schäfer-Eimer
Ing. Rico Hoffmann
Charlotte Hecker B.Eng.
Ulrike Hiller
Annamaria Baum MBA.
Ing. Mattias Boucsein
Dr. Stefania Gnatz
Dr. Miguel Jungfer
Antonietta Putz B.Eng.
Dipl.-Ing. Apollonia Steuer
Sergej Hauffer MBA.
Irmgard Weinhage-Wieloch
Margot Sontag MBA.
Mercedes Sauer
Matthias Hendriks-Koch
Margareta Losekann
Aloisia Faust
Reinhard Beer-Etzler
René Ehlert
Univ.Prof. Michail Tintzmann B.Eng.
Herr Thomas Baum
Heinz-Willi Geisel
Canan Berger-Hellwig
Marieluise Kruschwitz
Editha Jacob
Anneli Neuschäfer
Univ.Prof. Siegrun Klingelhöfer MBA.
Univ.Prof. Suse Lachmann B.Sc.
Albina Stadelmann
Edit Rädel
Frau Edeltraud Radisch B.A.
Antonietta Hübel
Prof. Angelique Seidel MBA.
Bernadette Sorgatz
Prof. Marten Söding B.A.
Gundula Scheel-Döring
Miroslav Paffrath
Univ.Prof. Pascal Schweitzer
Univ.Prof. Franca Ritter B.Eng.
Martine Trupp
Annelie Kitzmann
Adelheid Salz
Ottfried Scheibe-Sauer
Elisa Karz-Rohleder
Süleyman Baum
Ron Sorgatz-Eimer
Friedemann Stoll
Univ.Prof. Tina Rose
Zoran Oestrovsky
Ing. Leni Rosenow B.Eng.
Mark Lindau
Rosalia Johann
Anna-Luise Seip-Hofmann
Vladimir Kruschwitz
Siegrun Schomber
Dr. Annika Gude MBA.
Nikolaos Reichmann
Anett Wieloch
Johannes Bärer
Gertraude Salz-Gnatz
Arzu Wieloch-Röhrdanz
Knut Jacob
Ottfried Peukert-Schulz
Jolanta Döring
Herr Hartwig Henk B.A.
Gabi Löwer MBA.
Ing. Magarete Herrmann B.Eng.
Thies Rose
Univ.Prof. Blanka Linke B.Eng.
Siegmar Pergande B.Eng.
Friedl Hänel
Marek Adler
Dipl.-Ing. Woldemar Benthin B.A.
Conny Fliegner
René Matthäi
Gundula Adler-Bien
Cordula Schmiedecke-Wilms
Konstantinos Linke B.Eng.
Claire Junk
Herr Vincenzo Liebelt
Angelika Roskoth
Univ.Prof. Gusti Schlosser
Rahel Dörschner
Reiner Ziegert-Walter
Diane Butte-Schleich
Kay-Uwe Pölitz
Nico Hartung-Linke
Univ.Prof. Rotraut Juncken B.A.
Rudi Schacht
Prof. Aziz Stumpf
Bernhard Fischer
Erhardt Heidrich
Nadja Ladeck B.Sc.
Charles Anders
Laura Beier
Frank-Peter Haase
Boris Stumpf
Notburga Huhn
Ingried Hauffer-Lübs
Elvira Scholtz
Dr. Damian Scheel
Dr. Ljiljana Henck MBA.
Dr. Markus Roskoth B.Sc.
Prof. Alois Jacob
Dörte Schlosser
Annelore Riehl
Margareta Lübs-Vollbrecht
Frau Almuth Kostolzin B.A.
Ewald Dussen van
Univ.Prof. Nikola Graf MBA.
Dierk Dörr
Lisbeth Hentschel
Malgorzata Rohleder
Luise Junk
Ahmet Pärtzelt
Dr. Uli Segebahn
Frau Zdenka Boucsein B.Eng.
Alexandros Ernst
Arno Mude
Univ.Prof. Mahmoud Liebelt
Zofia Gutknecht
Rose-Marie Schüler
Brian Blümel B.Eng.
Erich Putz
Lieschen Röhrdanz
Nicolaus Seifert
Stephanie Weller
Wiltrud Gröttner-Klapp
Prof. Dirk Biggen B.Eng.
Ing. Torsten Hartung B.Eng.
Ing. Carmine Kroker
Henrik Heidrich
Nathalie Krause
Jens-Peter Heinrich
Dr. Hedda Radisch
Univ.Prof. Belinda Henck
Tomas Säuberlich B.A.
Edda Junck-Eimer
Manja Koch II-Heuser
Gloria Bruder B.A.
Wenzel Drubin
Daniela Siering
Dipl.-Ing. Nuray Mude B.Sc.
Dierk Gunpf B.A.
Kristian Ritter
Johan Buchholz
Ing. Edeltraud Zirme
Alexandros Heintze
Nurettin Mans-Klemt
Dr. Änne Radisch
Viktor Kusch
Frau Waltraud Weitzel B.A.
Lili Birnbaum
Lilly Girschner-Ritter
Mirja Bähr
Klaus-D. Hövel
Heimo Gorlitz B.A.
Radmila Linke MBA.
Eugenia Riehl
Michelle Klingelhöfer B.Eng.
Ing. Marie-Therese Seifert
Ulf Kensy MBA.
Ing. Romuald Kreusel B.A.
Marjan Pölitz B.Eng.
Rahel Stey
Dr. Elwira Hiller
Hans-Theo Bärer B.Eng.
Marie-Theres Jäkel
Madlen Lübs
Georg Nerger
Ida Weihmann
Lorenzo Adler-Trommler
Dr. Wencke Junken B.Eng.
Anika Holsten
Dusan Dussen van
Dipl.-Ing. Mathias Metz B.A.
Luka Stiffel
Prof. Maria-Luise Drub B.Sc.
Fatih Ladeck-Weihmann
Sibylla Koch MBA.
Yasmin Reising
Herr Yilmaz Vollbrecht B.Eng.
Frau Ilka Pärtzelt B.Eng.
Dr. Laila Peukert
Univ.Prof. Hans-Albert Ruppert
Rene Berger-Jäkel
Gerta Hartmann
Dipl.-Ing. Cläre Geißler
Prof. Kata Häring
Prof. Josefa Beier B.Sc.
Dr. Danica Scheuermann B.Sc.
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Herr Jost Ruppersberger B.A.
Heinz Dieter Trubin
Telse Rudolph
Lars Ullrich
Ramon Jäntsch-Gertz
Amalie Gotthard
Ilias Freudenberger
Tassilo Beckmann
Hannes Patberg
Stilla Köhler
Conny Metz
Marie-Luise Staude-Käster
Volker Süßebier-Staude
Kathi Hering
Univ.Prof. Margareta Naser
Adalbert Boucsein
Prof. Sofie Gröttner
Siegward Hertrampf
Dr. Elly Junk
Ing. Heinz-Josef Hoffmann
Frau Karolina Hörle
Anika Binner-Löffler
Gunhild Stroh-Jacob
Tillmann Dobes-Trupp
Lorenz Schüler B.A.
Ernestine Tröst
Univ.Prof. Tomasz Atzler B.Sc.
Lars Eckbauer-Möchlichen
Gusti Wagenknecht
Heidrun Stiebitz
Dr. Annett Siering
Hiltraud Köster MBA.
Carsten Junken
Larissa Löffler
Prof. Hannah Hölzenbecher MBA.
Ben Eimer-Loos
Hellmut Lindner
Ing. Wenke Karge B.Sc.
Dina Rose
Lili Döhn-Margraf
Reinhard Rogge
Dipl.-Ing. Karina Kambs MBA.
Gordon Klemt-Rörricht
Felicia Flantz-Lehmann
H.-Dieter Gerlach
Herr Guido Knappe B.Eng.
Bruni Meister B.Sc.
René Hölzenbecher-Berger
Pawel auch Schlauchin
Harro Vogt-Gieß
Gino Ernst
Karl-Dieter Süßebier
Pawel Peukert-Rörricht
Univ.Prof. Czeslaw Heuser
Mareile Meister
Albin Schuchhardt
Frau Anka Hering
Prof. Gunter Mentzel
Frau Magarete Mans B.Sc.
Rosemarie Hethur
Liesa Gröttner
Ing. Carolin Faust B.A.
Folker Otto MBA.
Jan Gumprich
Udo Grein Groth
Rabea Weiß MBA.
Ing. Klaus-Dieter Karge MBA.
Ekrem Zänker
Dipl.-Ing. Hans-Gerhard Schleich
Gudrun Geisler
Gereon Wende MBA.
Bertram Eigenwillig
Ramona Sontag
Univ.Prof. Charlotte Lindner MBA.
Dusan Ruppersberger B.Sc.
Karsten Wohlgemut
Prof. Folkert Ernst MBA.
Evangelia Stumpf-Ruppersberger
Volkmar Trub
Ella Keudel
Antonios Schönland
Miroslav Krein
Dipl.-Ing. Georgine Adolph B.Eng.
Ingeborg Wesack
Dusan Eigenwillig
Piotr Ruppersberger
Reinhard Christoph
Herr Erich Rosenow
Prof. Apollonia Gerlach B.Sc.
Dipl.-Ing. Lilly Trüb
Henrik Hein B.A.
Marijan Kruschwitz
Patricia Schäfer
Aziz Bauer MBA.
Univ.Prof. Romuald Hermighausen
Prof. Bianka Schacht
Rosa-Maria Steckel
Dipl.-Ing. Wilfried Ortmann
Hannelore Weinhold B.Sc.
Rainer Henk-Gotthard
Ekkehard Holzapfel
Anny Wähner
Lutz Mies-Hesse
Ingetraud Austermühle-Dowerg
Hans D. Schenk
Anne-Kathrin Geisler
Marika Sager
Pero Gnatz
Paolo Zänker MBA.
Dipl.-Ing. Dörte Häring MBA.
Kristiane Zahn
Marianne Heser
Sibille Liebelt
Waltrud Jockel B.Eng.
Kevin Trubin
Stanislav Hoffmann
Ingelore Heinz
Katarina Knappe
Dipl.-Ing. Emanuel Nette
Dorothee Renner
Herr Muzaffer Klotz B.Sc.
Ilka Zimmer-Wesack
Univ.Prof. Undine Jungfer
Thoralf Geisel
Corinne Koch II
Ing. Rose-Marie Hölzenbecher
Dipl.-Ing. Regine Renner
Dörte Dobes-Bonbach
Mary Hofmann B.A.
Evangelia Röhricht
Dr. Immo Kramer
Dagmar Schinke B.Sc.
Roman Bloch
Lene Hermann-Kaul
Prof. Sonia Blümel
Mattias Kruschwitz
Constantin Kraus
Frau Dorothe Mielcarek
Isa Kramer-Matthäi
Prof. Urs Salz
Maren Scholz-Bohlander
Zenon Hahn MBA.
Irmtraut Haase-Hendriks
Almuth Pieper
Renate Franke B.A.
Heribert Ring B.A.
Minna Lindner
Magnus Heidrich
Ron Beer
Kay-Uwe Jähn-Schwital
Charles Heinz
Hilmar Hörle
Arzu Stiffel-Drubin
Witold Heintze
Mike Röhricht-Hauffer
Emma Sauer B.Eng.
Heiner Rörricht
Recep Hecker
Paul-Gerhard Jungfer B.Eng.
Sofie Staude
Burkhard Schweitzer
Gertrude Gumprich
Herr Frank-Peter Jopich
Prof. Niko Atzler B.Sc.
Gundula Weitzel-Liebelt
Rudolph Metz-Mitschke
Ortwin Scholl
Fatima Eckbauer-Rosemann
Herr Anton Mohaupt B.A.
Janusz Trub-Mühle
Artur Berger
Vitus Pruschke B.A.
Hilda Stey B.Eng.
Wolf-Dieter Eigenwillig
Erol Kreusel B.Sc.
Leopold Weller-Zobel
Ing. Dierk Striebitz
Holger Gröttner B.Eng.
Hans-Bernd Zobel
Bertold Schenk
Helene Kuhl-Austermühle
Nikolas Hövel
Dagmar Koch
Dipl.-Ing. Milica Hofmann B.A.
Janusz Eberhardt MBA.
Marie-Theres Pechel
Frau Bruni Krein B.A.
Arndt Wernecke-Gertz
Hubertine Krein
Ferenc Trüb B.A.
Steven Trub
Univ.Prof. Maria-Luise Trüb B.Sc.
Univ.Prof. Czeslaw Tröst
Anni Dietz-Blümel
Aenne Hübel-Mühle
Antoinette Schottin
Ronald Hofmann
Giesela Wagner
Henny Stey
Gerti Trupp-Dowerg
Mariusz Stadelmann-Jähn
Dipl.-Ing. Viktor Scheibe MBA.
Vinko Reuter
Ralph Jacobi Jäckel
Deborah Becker
Sylvester Hamann
Concetta Wohlgemut
Nancy Hartmann-Schottin
Hans-Georg Scholz
Apollonia Trüb B.A.
Marlene Steckel B.A.
Bruno Martin-Kaul
Kazim Tschentscher
Ing. Zdenka Neuschäfer
Wibke Pärtzelt-Wieloch
Erna Schmiedt
Radmila Kraus-Schacht
Viviane Girschner
Hartmuth Koch II
Hans-Albert Schwital
Necati Koch
Nadia Thanel
Gerfried Dippel
Damian Holsten
Emilie Schmiedecke
Roland Putz
Hans-Christian Trüb
Czeslaw Bohnbach B.Eng.
Mareen Mies B.Eng.
Catrin Weller
Ibrahim Eberth
Univ.Prof. Ron Rörricht
Sandy Dietz
Cosima Johann
Willibald Ziegert-Siering
Xenia Hermann
Rebekka Lindau MBA.
Egbert Tschentscher
Paulo Trommler
Dipl.-Ing. Mareike Noack B.Sc.
Miriam Juncken
Ing. Christiana Seip
Robin Sölzer
Dipl.-Ing. Violetta Briemer B.A.
Günther Mude B.A.
Änne Wagner
Hanife Täsche-Stiffel
Marlen Hesse
Vitali Walter-Krein
Milos Trüb
