Student
Silvia Weiß
Madeleine Henk
Prof. Helga Hesse
Janusz Eberhardt MBA.
Kornelia Kade
Janina Faust MBA.
Ismail Koch
Tabea Schomber
Dariusz Rädel
Dipl.-Ing. Ira Röhricht B.Sc.
Marlen Hesse
Hanife Ackermann
Antonius Hermighausen
George Weimer
Frau Silvana Bolzmann B.Eng.
Valeria Bonbach
Ing. Dietlind Gieß
Adina Mitschke
Dipl.-Ing. Christel Beer B.Eng.
Mareile Birnbaum
Jochem Hermighausen
Ing. Georg Lübs
Karl-Peter Kramer
Sebastian Vogt
Nadeschda Pölitz
Romy Baum
Till Tlustek
Harro Vogt-Gieß
Angelique Speer B.A.
Ing. Hannes Jähn B.Sc.
Alexei Meister
Erwin Etzold
Horst-Peter Riehl
Friedericke Bolzmann
Waltrud Stroh
Marianna Segebahn-Wernecke
Rotraut Ullrich
Mira Bender
Andres Sager
Natalia Hauffer
Oxana Ladeck
Ingried Sauer
Heinz-Joachim Kobelt
Harm Nette
Edmund Siering
Ing. Cynthia Weihmann B.Eng.
Gerhild Beyer
Marlen Flantz
Ing. Knud Vogt
Sergio Kraushaar-Anders
Ing. Anika Jüttner
Jann Cichorius
Falk Sorgatz-Ortmann
Tülay Scholtz
Mahmut Rose B.A.
Katharina Süßebier B.A.
Maximilian Pohl B.A.
Dr. Mariusz Beckmann
Ruth Hartung
Dr. Lea Kraushaar B.Eng.
Karolin Mitschke
Teresa Möchlichen
Frederik Rust
Brita Roht MBA.
Ruben Trubin
Galina Kraus-Hermighausen
Vincenzo Zirme
Herr Ignatz Boucsein MBA.
Mattias Sorgatz-Haase
Ingelore Heinz
Pedro Beer
Konstanze Mühle
Hulda Seidel-Carsten
Eleni Franke
Paul-Gerhard Hein
Vitali Ortmann
Agatha Sager-Geisler
Detlev Heintze
Priska Rädel
Marlies Seifert-Roht
Prof. Tina Ullrich
Ing. Heinz Ehlert
Dittmar Graf
Frau Gitte Hänel
Prof. Heinz-Peter Thies
Adina Söding
Dr. Danica Scheuermann B.Sc.
Dipl.-Ing. Hans-Karl Dussen van B.A.
Heidelore Pärtzelt MBA.
Krista Hofmann
Hansgeorg Heuser
Erdal Meyer B.A.
Ing. Anatolij Heintze
Niko Geißler-Wirth
Marianne Heser
Reni Cichorius
Nadja Häring B.Eng.
Dipl.-Ing. Jan-Peter Mende MBA.
