Student
Elisa Steinberg
Ing. Dierk Striebitz
Rahel Dörschner
Dr. Salih Ullmann
Philipp Lorch
Guenter Lachmann
Edda Salz
Hilmar Hörle
Frank-Peter Weimer
Antonius Käster
Herr Rolf-Peter Renner MBA.
Theresa Killer
Berend Rörricht
Elli Junck
Anatoli Caspar
Adalbert Ullmann
Hans-Martin Kambs
Ria Stroh
Eugenia Sorgatz
Frau Hildegunde Koch II
Kay-Uwe Mühle
Prof. Gertraude Wohlgemut B.Eng.
Johann Baum
Dorle Henck-Sorgatz
Bernhardine Bender MBA.
Univ.Prof. Birger Weihmann MBA.
Nadin Schomber
Dr. Baldur Johann B.Eng.
Hans-Hinrich Linke
Maritta Boucsein
Mary Staude
Käthi Faust-Gorlitz
Frau Ilka Pärtzelt B.Eng.
Marlies Mude
Norbert Niemeier
Univ.Prof. Gottlieb Steuer B.A.
Karla Wirth
Heribert Kensy
Dr. Karla Christoph
Andrea Wulf
Gernot Hornich B.A.
Dr. Rita Kallert
Ing. Pawel Rörricht
Sönke Gumprich
Herr Erich Rosenow
Frida Stolze
Ing. Therese Rust
Giuseppina Linke
Fredy Bachmann B.Eng.
Sibylle Jäntsch
Freia Hofmann
Brian Hölzenbecher
Karlheinz Martin
Univ.Prof. Linus Seifert
Eva-Maria Eberth B.A.
Carla Schacht
Frieda Gröttner
Wally Kreusel
Jurij Zimmer
Edit Martin B.Sc.
Gerolf Radisch
Herr Claus Killer
Ing. Henning Drub
Ing. Bernfried Haering
Ann-Kathrin Davids
Herr Baptist Klotz
Prof. Svea Putz MBA.
Silvester Etzold
Istvan Scheuermann
Univ.Prof. Mira Heser B.Sc.
Dagobert Sorgatz
Prof. Olga Steckel B.A.
Univ.Prof. Luisa Scholz B.Eng.
Götz Hofmann B.A.
Univ.Prof. Therese Hänel
Abraham Junken-Beckmann
Barbara Kambs
Melanie Scheel B.A.
Renata Holt-Heintze
Sybilla Hornig
Ing. Wulf Atzler
Robert Herrmann
Josip Hiller-Hauffer
Alf Jacobi Jäckel-Fritsch
Senta Renner
Henry Austermühle
Sandy Zimmer
Dr. Aziz Adolph MBA.
Sylvana Hornich MBA.
Ing. Edward Salz
Recep Hecker
Dipl.-Ing. Reinhart Gotthard B.Eng.
Michaele Klotz B.Eng.
Leokadia Oestrovsky
Ing. Eugenie Birnbaum
Ilka Zimmer-Wesack
Vincenzo Steinberg B.Sc.
Luciano Biggen
Emma Sorgatz-Radisch
Reimer Scheel B.Eng.
Angelina Ruppert-Siering
Gunter Misicher
Wenke Stolze
Henny Rose
Dominic Martin
Univ.Prof. Diethard Klotz
Dipl.-Ing. Christoph Schulz B.Sc.
Martha Dowerg
Adelinde Kensy B.Eng.
Franz-Josef Etzold
Stephen Trommler
Carl Schmiedt
Friedericke Bolzmann
Elisabet Preiß-Thanel
Univ.Prof. Ivonne Haase B.Sc.
Reimer Kitzmann
Frau Elfi Winkler MBA.
Benita Hahn-Wieloch
Heinz-Günter Schuster
Univ.Prof. Till Vogt MBA.
Mohammed Geißler
Sina Mende
Alwina Hettner
Herr Ilja Kroker
Irmtrud Mohaupt-Etzler
Hellmuth Hörle
Orhan Wieloch
Miroslawa Gude B.Sc.
Silvia Henschel
Ottomar Hermann
Eveline Kruschwitz B.Sc.
Frau Natalija Stey
Frau Cynthia Bähr B.Sc.
Ingrid Rudolph
Prof. Sylvana Trapp
Dipl.-Ing. Lilly Boucsein B.Sc.
Susan Riehl B.Sc.
Therese Rohleder
Jakob Döring
Hanno Löffler
Leopoldine Butte
Dipl.-Ing. Albrecht Metz
Anatol Gude MBA.
Dörte Nette
Hans-Willi Benthin
Henni Mälzer-Tlustek
Hans-Martin Bärer
Wencke Salz
Tanja Plath
Dipl.-Ing. Adriana Geißler
Genoveva Hofmann
Dorina Weinhold
Juliana Möchlichen
Gudula Holzapfel
Edwin Förster-Albers
Dipl.-Ing. Nina Boucsein MBA.
Dipl.-Ing. Jose Löchel
Hans Jürgen Grein Groth-Rudolph
Wera Hauffer B.A.
Justine Dippel-Rosemann
Dipl.-Ing. Laurenz Gerlach MBA.
Dr. Ottfried Lachmann B.Sc.
Valerie Mangold
Isa Knappe-Biggen
Erkan Beier
Prof. Henriette Killer
Viktoria Trub-Budig
Hilmar Faust
Dr. Lidia Flantz B.Sc.
Univ.Prof. Gretl Langern B.A.
Christina Geisel-Hesse
Jens-Peter Bolzmann
Prof. Klaas Geißler B.A.
Aziz Anders
Ole Schmidtke
Theresa Caspar
Ehrenfried Stiffel
Hellmut Bruder
Michaele Ruppert
Dipl.-Ing. Angelique Ortmann
Johann Rust
Stjepan Schmidtke
Nikolas Heß
Fatima Rörricht
Klaus-Michael Hahn
Eva-Maria Mies MBA.
Prof. Emine Beer
Ing. Siegmar Meyer B.A.
Gregor Jungfer
Konstantin Knappe
Bernhard Becker
Ing. Birte Heidrich B.Eng.
Kay-Uwe Finke
Univ.Prof. Vesna Hering
Eckehard Wernecke
Phillip Hermann
Dr. Hans Dieter Mude
Stanislav Hoffmann
Janina Seifert
Gundi Tlustek
Hedy Kobelt
Hannchen Drewes B.Sc.
Maren Bachmann-Stumpf
Marco Conradi
Dipl.-Ing. Ingolf Krein
Ing. Stanislaw Weihmann B.A.
Prof. Hannah Hölzenbecher MBA.
Marica Seidel B.Eng.
Dr. Jan-Peter Martin B.Eng.
Univ.Prof. Gönül Meister B.Sc.
Andrej van der Dussen B.A.
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Ing. Lisette Kaul B.A.
Adem Schleich
Adalbert Hande B.Eng.
Prof. Folker Trupp B.Sc.
Georgine Schäfer
Thies Pergande
Henny Wulff
Herr Goran Paffrath
Stefano Koch B.Eng.
Univ.Prof. Athanasios Drub B.Sc.
Isidor Atzler
Heinrich Bohlander-Ullrich
Christos Bolander
Herr Wolfhard Hövel
Nancy Hartmann-Schottin
Bianka Dobes-Seifert
Dr. Helma Kohl B.A.
Jonas Beyer
Univ.Prof. Sonja Hande MBA.
Josefine Rosenow-Hertrampf
Ing. Siglinde Speer MBA.
Tanja Renner B.Sc.
Meral Liebelt
Volkmar Hentschel
Wilfriede Ziegert
Moritz Schönland
Margitta Hethur MBA.
Ditmar Dehmel
Prof. Tina Nohlmans MBA.
Liane Reuter
Hakan Kitzmann-Scholl
Carmen Textor-Krebs
Georgia Liebelt
Egbert Heintze
Prof. Loretta Speer MBA.
Leonardo Rogge
Rahel Hartmann
Larissa Löffler
Frau Stefani Hendriks B.A.
Torben Hartung
Univ.Prof. Michaele Heser MBA.
Dr. Constance Römer
Liesa Wilms B.A.
Ronald Hofmann
Eberhard Rust B.A.
Jadwiga Koch
Ira Scholz-Pohl
Domenico Reichmann
Dr. Trude Girschner
Angela Hamann
Hilde Lübs
Siegrid Hande
Baptist Radisch MBA.
Cornelia Schinke
Carina Kusch
Nada Dowerg-Jähn
Gabi Neuschäfer-Oestrovsky
Dipl.-Ing. Gloria Heidrich
Kriemhild Junk MBA.
Herr Hans-Detlef Grein Groth
Leon Junken
Dr. Edit Scheibe B.A.
Rene Lindau-Jäkel
Frauke Wilms
Hedy Rudolph MBA.
Ing. Romuald Roht B.Sc.
Alida Trupp
Dina Hartung
Zeki Hartung
Ronald Börner-Hentschel
Marko Trupp
Marina Hofmann
Dipl.-Ing. Gerold Kusch B.Eng.
Annette Ullmann
Hannah Jacobi Jäckel
Prof. Magnus Dörr B.Eng.
Dipl.-Ing. Bernhardine Heß
Irmengard Röhrdanz
Jacob Süßebier
Johannes Bärer
Herr Kurt Weitzel B.Sc.
Emilie Schmiedecke
Justina Zirme
Frau Antonina Kitzmann
Dipl.-Ing. Marek Jockel
Inka Trub
Anne-Katrin Lorch
Joachim Süßebier
Janko Margraf MBA.
Gino Ernst
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Kenneth Köhler-Kaul
Prof. Woldemar Beier B.A.
Anton Müller
Aneta Schlosser-Köster
Torben Säuberlich-Linke
Conrad Lindau
Herr Hans-Martin Heuser
Alban Butte
Leni Wohlgemut-Ruppersberger
Stefanie Hertrampf MBA.
Ernst Henschel
Clara Mans
Magarete Klingelhöfer-Mans
Urszula Rudolph
Hartmut Zirme
Sarina Dobes
Ignaz Warmer
Siegrun Schomber
Hans Kraus
Herr Karl-Heinrich Eberth B.Sc.
Baptist Vogt
Dipl.-Ing. Edgar Gehringer B.Eng.
Irmtrud Textor B.Eng.
Ing. Karl-Peter Weinhold B.Sc.
Kirsten Stey B.A.
Gertraud Mentzel
Ing. Marie-Therese Schleich
Michel Heß
Flora Mühle B.Sc.
Frau Gertrud Jüttner
Prof. Lieschen Bohlander
Adam Seifert
Elly Hande
Dr. Hans-Herbert Losekann B.A.
Herr Urban Christoph
Josefa Stolze
Heinrich Kramer
Univ.Prof. Albin Bärer
Karlheinz Stahr
Horst-Günter Renner
Roland Putz
Klaus-Peter Schüler-Schaaf
Stilla Hornig B.A.
Ismet Kroker
Abdul Ullmann
Heinrich Putz B.Sc.
Hedi Bärer
Uli Stolze MBA.
Hans-Willi Ladeck
Elias Gierschner
Annelie Metz
Prof. Sibel Wohlgemut B.Sc.
Marie-Luise Ring
Univ.Prof. Heinz-Dieter Schuster
Herr Julian Gotthard B.Eng.
Univ.Prof. Nicole Höfig B.Sc.
Alena Hänel
Univ.Prof. Alexandre Schottin
Ingried Bähr
Emine Haase B.A.
Valentin Steuer-Mans
Frau Korinna Kranz
Prof. Rosa Kruschwitz B.Sc.
Herr Günther Krein MBA.
Univ.Prof. Liliana Niemeier B.Eng.
