Student
Dr. Fedor Plath B.Sc.
Herr Mario Pergande
Heribert Kensy
Jann Cichorius
Sylvester Neuschäfer-Schacht
Magdalene Patberg-Mosemann
Marita Henk
Hans Dieter Stahr
Nick Jockel B.A.
Wally Kreusel
Univ.Prof. Friedlinde Bien MBA.
Anna-Marie Zorbach
Robert Weimer
Wiebke Gehringer
Jutta Aumann
Dipl.-Ing. Edda Barth MBA.
Aziz Bähr B.A.
Roswita Döhn
Dr. Franz-Peter Löffler
Adolfine Wilms
Dr. Diedrich Krebs B.A.
Willy Trub-Freudenberger
Moritz Holzapfel
Hatice Killer-Löwer
Käthe Ernst
Univ.Prof. Sebastian Sontag
Ewa Kade
Univ.Prof. Francisco Tröst B.Eng.
Ercan Kühnert
Karl-Hans Hande-Schuster
Babett Adler
Ludwig Zimmer MBA.
Undine Lindner
Dietlinde Söding
Tanja Henk
Prof. Cilli Wulf
Ing. Siegmar Meyer B.A.
Hans-Detlef Schleich
Univ.Prof. Evelyn Seifert B.A.
Herr Juri Kitzmann
Kristina Röhricht
Auguste Buchholz B.Sc.
Domenico Reichmann
Rebecca Geißler
Dr. Änne Radisch
Ben Zahn
Gesche Kühnert
Eberhard Junitz
Sandy Dietz
Pamela Mies B.Eng.
Bozena Schuchhardt
Dr. Hildegund Söding B.A.
Marie-Theres Pechel
Elisabeth Roskoth
Rosalinde Losekann
Vladimir Wulf B.A.
Emma Blümel
Janus Walter
Steven Eimer
Wendelin Pärtzelt
Etta Hellwig
Gottfried Martin-Martin
Niko Gutknecht B.Sc.
Elwira Pölitz B.Sc.
Univ.Prof. Inga Hermighausen B.Eng.
Andreas Birnbaum-Kallert
Herr Gerold Kreusel
Jörg-Peter Dowerg
Heide-Marie Beckmann B.Sc.
Peter Sontag
Ing. Chantal Schleich B.Eng.
Helen Hahn
Emmerich Wilmsen
Thomas Weinhold B.Eng.
Prof. Ilse Schmiedecke
Sonia Gorlitz-Mude
Klaudia Reuter B.A.
Isidor Zobel-Ritter
Prof. Danny Bähr B.Eng.
Lorenz Kohl
Univ.Prof. Adelbert Zimmer
Silvia Weiß
James Nohlmans
Henning Scholl
Dr. Peggy Beyer B.Sc.
Gudula Niemeier
Prof. Erwin Albers B.Sc.
Dr. Philip Siering B.A.
Dipl.-Ing. Georgine Adolph B.Eng.
Dipl.-Ing. Julian Mühle
Vesna Wähner
Elise Hentschel
Univ.Prof. Arno Kramer B.Eng.
Natalie Bender MBA.
Sigmund Herrmann MBA.
Alois Jungfer B.Eng.
Dipl.-Ing. Oskar Vogt B.A.
Felicia Hamann
Ing. Dirk Paffrath
Hans-Willi Benthin
Karl Heinz Stiebitz
Felizitas Jungfer
Bettina Schlosser
Ing. Swen Sorgatz B.Eng.
Wulf Steckel-Lachmann
Ing. Zdenka Neuschäfer
Univ.Prof. Cecilia Scholl MBA.
Prof. Mirko Adolph B.A.
Hans-Günther Scheuermann B.Eng.
Teresa Jessel
Herr Jens Ritter B.Eng.
Renato Bolnbach
Stephen Tintzmann
Nadja Hethur
Albert Hartmann-Lachmann
Mattias Kruschwitz
Cecilia Stoll
Edwin Wilms MBA.
German Speer
Gundel Dietz
Ewald Kreusel
Dr. Gudula Scheuermann
Marion Wohlgemut B.A.
Krzysztof Niemeier-Kostolzin
Elena Linke-Wohlgemut
Dipl.-Ing. Undine Warmer
Olga Stahr
Irmi Zobel
Ella Briemer-Siering
Dr. Myriam Pieper B.Eng.
Carmine Schacht
Vincenzo Jopich
Prof. Catherine Knappe MBA.
Hertha Gutknecht
Univ.Prof. Jann Schleich
Desiree Ruppert
Ing. Hanny Noack MBA.
José Tschentscher-Textor
Herr Herbert Dowerg
Anselm Dowerg
Dr. Trude Girschner
Christl Eigenwillig
Wladimir Karge
Philipp Ernst
René Ullrich
Lili Döhn-Margraf
Joana Preiß
Robert Etzold
Victoria Binner
Swetlana Binner
Dr. Patrizia Dörschner B.A.
Valerie Losekann
Xaver Schönland
Marcel Hermighausen
Chantal Kade
Detlef Köster
Prof. Elzbieta Fechner B.Sc.
Willy Hornig
Ibrahim Ditschlerin
Ing. Gotthard Reuter B.A.
Prof. Ignaz Cichorius
Gilda Rohleder
Ing. Michel Harloff
Olga Albers B.Sc.
Ing. Rolf Gertz
Reinhild Pergande
Ernest Müller
Berta Hörle-Börner
Ana Heinz B.A.
Univ.Prof. Hugo Martin
Katja Kruschwitz-Roskoth
Dipl.-Ing. Gisela Schuster B.A.
Univ.Prof. Rosl Pölitz
Heike Karge
Dr. Ehrhard Gieß B.Sc.
Süleyman Baum
Marzena Hein
Wenke Patberg
Prof. Josefa Beier B.Sc.
Prof. Constance Girschner MBA.
Prof. Hans-H. Zimmer
Dr. Gerard Reichmann MBA.
Annegrete Pohl-Sölzer
Annett Sorgatz B.Eng.
Reinhard Christoph
Prof. Salvatore Römer
Helmuth Zirme
Kerstin Heidrich B.A.
Alessandro Krause
Gitte Rohleder-Bruder
Thea Dippel
Frau Ayten Pärtzelt MBA.
Rosi Spieß
Gisela Hornich-Metz
Kenan Pieper
Mohammad Karz MBA.
Ing. Fredi Löffler
Hanns Zänker B.A.
Hildegund Ruppersberger
Ortrun Eckbauer-Kohl
Prof. Ada Wähner
Anny Zirme
Asta Hesse
Oda Barkholz
Dr. Uli Segebahn
Geraldine Gutknecht
Alexej Hornig-Radisch
Slavica Ernst-Schmidtke
Frau Anja Haering
Marianne Killer
Dr. Franco Wilms
Univ.Prof. Mirella Peukert
Heinz-Georg Heidrich
Victoria Hornig
Dipl.-Ing. Gloria Heidrich
Dennis Beer-Striebitz
Herr Dimitri Mohaupt B.A.
Dr. Hans-Heinrich Kaul B.Eng.
Gregor Loos-Gehringer
