Student
Pedro Bärer
Klaus-Dieter Knappe
Catrin Ziegert-Meyer
Cord Tröst
Heino Schönland-Hermann
Judith Boucsein-Aumann
Dr. Erdogan Fröhlich
Angelo Röhrdanz
Fatima Eckbauer-Rosemann
Kathrin Beckmann-Heinz
Faruk Meister
Mattias Kruschwitz
Dr. Bastian Christoph MBA.
Alena Holzapfel
Elfi Kranz
Corinne Berger
Karin Beckmann
Vladimir Patberg-Weller
Dipl.-Ing. Liliana Hartmann
Klaus-Peter Häring
Thies Pergande
Kornelius Sontag
Ing. Willibert Steckel
Alessandro Henk-Käster
Bianka Schmidt
Milica Huhn
Bruno Martin-Kaul
Kristian Meyer
Gerta Kallert-auch Schlauchin
Lutz Pärtzelt
Frau Evamaria Geißler
Suzanne Holzapfel
Prof. Monica Beer MBA.
Tomislav Jopich-van der Dussen
Univ.Prof. Leszek Gieß B.Eng.
Ahmet Eckbauer-Sölzer
Gerhild Gude
Univ.Prof. Friedl Peukert B.Eng.
Vassilios Birnbaum
Univ.Prof. Heinrich Knappe B.A.
Daniela Weimer
Harro Trapp B.Eng.
Lars Walter
Elvira Mälzer
Ottokar Fliegner
Franz Steuer
Prof. Guiseppe Gröttner B.Sc.
Falk Ritter
Univ.Prof. Philip Kranz B.Sc.
Milica Reichmann
Patrizia Schüler
Theo Trubin
Prof. Monique Budig B.Eng.
Konrad Henschel
Bernhardine Wilmsen
Achim Budig
Bayram Meister
Erdal Bähr
Susan Warmer
Oskar Beyer
Valentin Klingelhöfer
Fatma Hesse
Hans-Hermann Hande
Egbert Tschentscher
Hans-Martin Junk-Kuhl
Prof. Jolanthe Gude
Gabriel Werner
Halina Austermühle-Bender
Nikola Kitzmann
Wilma Pärtzelt-Huhn
Hans-Detlef Bender
Tomasz Bolnbach
Prof. Anka Schulz
Gerti Trupp-Dowerg
Eggert Börner-Geisler
Harriet Rohleder
Monique Stroh
Oxana Stumpf
Dino Martin
Aenne Mende B.Eng.
Kornelius Hornig MBA.
Susanna Jäntsch
Gülsen Junck
Univ.Prof. Jann Schleich
Dr. Nadja Wulf
Ottilie Trüb
Dina Hartung
Erica Holsten
Birger Klapp
Univ.Prof. Sergio Kreusel MBA.
Liane Kambs
Herr Valerij Heydrich
Carmelo Stiebitz
Prof. Karl-Ernst Möchlichen
Dipl.-Ing. Adriana Geißler
Prof. Salvatore Römer
Univ.Prof. Samira Drewes
Ing. Tomas Fischer B.Sc.
Cemal Budig-Holt
Thorsten Ruppersberger
Bernd-Dieter Kostolzin B.A.
Hans-Jochen Stolze
Heinz-Georg Hornich
Sina Mende
Osman Salz MBA.
Prof. Olga Steckel B.A.
Eberhardt Mielcarek
Prof. Mohammad Reinhardt
Frau Anny Niemeier B.A.
Carina Schaaf
Philipp Killer B.A.
Rosa-Maria Steckel
Nikolaos Reichmann
Kati Süßebier
Richard Drub
Rocco Rosemann B.A.
Luis Jacob
Malte Bohlander
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Erich Putz
Ada Heser B.Sc.
Luka Binner
Rolf-Dieter Jacobi Jäckel-Nerger
Karl-Peter Hofmann B.A.
Michelle Pohl
Herr Steven Eberhardt
Ing. Eugenie Birnbaum
Ehrhard Bohnbach B.Eng.
George Paffrath MBA.
Adeline Holsten
Dr. Mariusz Beckmann
Marina Hofmann
Hannes Jäntsch
Hans Georg Niemeier
Ditmar Pölitz B.A.
Herr Bastian Ritter B.Sc.
Gerald Hendriks
Hedi Gumprich
Brunhilde Scholz
Slawomir Bohnbach
Katharina Süßebier B.A.
Fatih Bohlander
Centa Bohlander-Stiebitz
Anton Gute
Janin Haase
Ing. Ayse Schacht
Adina Söding
Ing. Siegmund Hertrampf MBA.
Marlies Mude
Hansjürgen Schlosser
Urban Geißler B.A.
Rüdiger Heinrich
Berndt Bähr
Hanife Täsche-Stiffel
Univ.Prof. Jaroslav Seifert B.Eng.
Dusan Ruppersberger B.Sc.
Heinz-Josef Meister
Hardy Weller
Zoltan Wilms
Univ.Prof. Jeannette Schleich B.Sc.
Gerhart Davids B.A.
Dipl.-Ing. Laurenz Gerlach MBA.
Ellen Liebelt
Leon Aumann
Ursula Löffler
Heinz-Josef Conradi-Klapp
Klaudia Löffler-Zorbach
Cristina Salz B.Sc.
Carl Schmiedt
José Gröttner B.Sc.
Damaris Zirme
Hilma Kuhl
Ryszard Lorch
Herr Hartmuth Pruschke
Ahmed Lange MBA.
Agnes Vollbrecht
Ilija Fischer
Dr. Rudolf Killer B.Sc.
Alida Trupp
Friedlinde Schenk-Wulff
Elisabet Preiß-Thanel
Ariane Tintzmann
Zita Butte
Franziska Wernecke
Herr Tino van der Dussen MBA.
Sylvio Stiffel
Giuseppina Keudel
Natalie Neureuther
Dipl.-Ing. Pero Ruppersberger B.Sc.
Frau Julie Wieloch
Abram Eckbauer B.A.
Eileen Etzler
Prof. Attila Werner B.A.
Aysel Bruder MBA.
Heinz-Otto Linke
Tabea Birnbaum
Alban Dippel
Hildegunde Staude
Simon Hahn
Birgid Drewes-Seifert
Aleksander Klapp-Sauer
Ernst-Dieter Geisler B.Eng.
Ekkehard Holzapfel
Raymund Thanel
Prof. Nuran Sauer B.Sc.
Astrid Dehmel
Marie-Luise Staude-Käster
Arndt Wernecke-Gertz
Dipl.-Ing. Violetta Briemer B.A.
Aenne Sölzer B.A.
Ute Hartmann
Timm Freudenberger-Henschel
Prof. Gabriella Holt B.Eng.
Irene Stumpf
Univ.Prof. Marjan Graf B.Sc.
Sigfried Franke B.Sc.
Gino Heß
Thea Bauer
Falko Klemm B.Sc.
Leonard Kostolzin
Sibilla Eimer
Sigmund Heydrich
Herr Muzaffer Schäfer
Siegmar Pergande
Fabienne Birnbaum
Geert Rust
Margaretha Kohl B.Sc.
Hulda Junk
Justine Lindner
Emanuel Kitzmann
Adelinde Gutknecht-Beier
Natalja Seidel
Gunnar Hentschel
Elfi Wesack
Frau Friederike Albers
Dr. Alberto Kabus B.Sc.
Pedro Beer
Oxana Ladeck
Bogdan Römer B.Eng.
Hans-Gerd Dietz B.A.
Andree Budig B.Eng.
Univ.Prof. Franca Ritter B.Eng.
Gislinde Klapp B.Sc.
Ing. Gregor Lindau
Dr. Michel Pruschke B.Eng.
Dipl.-Ing. Mariana Mohaupt B.Sc.
Änne Boucsein B.Sc.
Alina Spieß
Hans-Bernd Trupp
Ing. Nadeschda Bohlander
Dominic Martin
Dr. Erkan Stroh
Univ.Prof. Liliana Niemeier B.Eng.
Lutz Kobelt
Sofia Hethur
Otmar Ditschlerin
Ing. Berta Oestrovsky B.Eng.
Krystyna Holsten B.A.
Ingeburg Radisch-Steckel
Ing. Dietlind Gieß
Anica Tintzmann B.Eng.
Franca Börner
Kornelius Heintze-Baum
Annamaria Hänel-Zimmer
Celal Seifert
Frau Kunigunda Schaaf B.A.
Dipl.-Ing. Ladislaus Weinhold
Kunigunda Hänel-Briemer
Natali Patberg B.A.
Jann Cichorius
Käte Ditschlerin-Roht
Miroslav Krein
Ing. Silke Kambs
Nicolai Röhricht-Spieß
Dipl.-Ing. John Ortmann MBA.
Nadja Schleich MBA.
Pius Gierschner-Weitzel
Friedericke Bolzmann
Anne-Kathrin Bachmann
Gertrude Gumprich
Evangelos Hartmann B.A.
Reinald Zahn
Thomas Kraushaar
Johannes Freudenberger
Tomislav Girschner
Gina Stumpf
Prof. Theobald Mangold
Reinhart Jopich
Annaliese Gute
Frank-Michael Köhler
Univ.Prof. Claudia Freudenberger B.Sc.
Julius Liebelt
Univ.Prof. Hans-Eberhard Bauer
Stjepan Wesack-Winkler
Robby Weller
Prof. Natalia Junck B.Sc.
Britta Nerger B.Eng.
Filippo Juncken
Prof. Meik Blümel B.Sc.
Dipl.-Ing. Sebastiano Käster B.Eng.
Frau Danielle Junk
Univ.Prof. Kirstin Killer B.Eng.
Nadeshda Mentzel
Herr Bartholomäus Adolph MBA.
Prof. Marijan Hoffmann
Dr. Alois Kraushaar B.Sc.
Prof. Mirko Adolph B.A.
Yvonne Kroker
Susi Grein Groth-Steuer
Veronica Benthin
Marko Kensy-Atzler
Martin Rose B.A.
Sven Walter
Ing. André Christoph
Frau Elsa Mälzer
Heribert Austermühle-Trupp
Milos Wiek
Karlfried Rörricht
Wolf-Dieter Sölzer-Putz
Marleen Austermühle-Tintzmann
Frau Hildegund Vogt B.A.
Maurizio Mans-Ullmann
Uli Schönland-Trupp
Silvia Eberth
Ing. Alexander Mude
Fredy Ring
Univ.Prof. Harriet Heintze
Gilbert Peukert B.Eng.
Helmuth Langern-Steinberg
Magdalene Fröhlich
Joana Zimmer B.A.
Anatolij Steinberg
Prof. Irmela Klemt B.Eng.
Käthi Lübs
Nancy Eckbauer
Prof. Klaus Peter Bruder
Ilhan Budig
Jörg-Peter Klemt MBA.
Gertrude Kostolzin MBA.
Tino Kensy
Lidia Franke
Prof. Arnold Caspar B.A.
Prof. Magnus Dörr B.Eng.
Ing. Philipp Textor
Ing. Alfred Söding
Dipl.-Ing. Elly Davids B.Sc.
Dr. Achim Barth
Valentin Gute
Marika Zimmer
Bernward Losekann MBA.
Dr. Steven Wohlgemut
Kemal Butte-Tintzmann
Ella Keudel
Dr. Ottfried Lachmann B.Sc.
Dr. Wencke Junken B.Eng.
