Student
Sandy Fechner
Asta Knappe
Univ.Prof. Luisa Scholz B.Eng.
Carin Pruschke
Melissa Stey
Gabi Meister
Janett Zorbach
Calogero Mude-Etzold
Kornelia Kade
Erica Holsten
Frau Korinna Kranz
Wencke Heinrich
Anatolij Kroker B.Eng.
Sofie Staude
Grzegorz Bohlander
Willibald Boucsein B.Sc.
Petra Wagner
Univ.Prof. Adelbert Zimmer
Marianne Ziegert-Werner
Herr Ilja Kroker
Gabriele Käster
Freddy Hande
Paul-Gerhard Jungfer B.Eng.
Jens Löchel
Siegward Weinhold
Christl Pölitz
Raymond Römer
Andrea Hamann
Ilka Heß
Faruk Hoffmann
Ing. Willibert Steckel
Manuel Hering-Jäntsch
Timm Oderwald
Ing. Ortrun Weimer
Clara Gehringer
Oliver Schwital
Lilo Hartung
Isabell Briemer
Julian Dussen van B.Eng.
Faruk Birnbaum
Ing. Annekatrin Heß
Sylvio Karge
Verena Gute-Trüb
Herr Christopher Speer
Univ.Prof. Helmut Junitz B.Eng.
Karl-Georg Sontag B.Sc.
Ilonka Wulf
Philip Mangold
Univ.Prof. Gesa Loos
Lorenzo Zänker
Laurenz Ritter
Tony Hecker
Valeska Geisler B.Eng.
Gordana Bolnbach
Carin Atzler
Miguel Gehringer-Reising
Sara Heuser
Joachim Rogge
Bernt Huhn
Dittmar Berger
Victoria Werner MBA.
Rudolph Metz-Mitschke
Luis Jacob
Dr. Krista Wirth
Dipl.-Ing. Fred Meister
Gotthilf Bohnbach-Seip
Josefa Stolze
Ing. August Hellwig B.Eng.
Karl-Heinrich Jacob
Matthäus Eckbauer
Mattias Kruschwitz
Klemens Knappe
Wendelin Schäfer B.Sc.
Giovanna Zobel-Liebelt
Alwina Hettner
Yusuf Steinberg B.A.
Janusz Rädel B.Sc.
Anna-Marie Zorbach
Monja Weiß
Wibke Reuter
Melissa Gehringer
Nada Hänel
Albert Butte
Prof. Joanna Kreusel
Annette Schwital
Claudio Bolnbach
Dusan Eigenwillig
Elfie Preiß
Eveline Putz
Heinz-Gerd Söding
Gabriel Klotz
Herr Filippo Rosemann B.A.
Klaas Eckbauer
Adriane Gröttner
Frau Emilia Pruschke B.A.
Nikola Riehl
Dr. Anto Wende
Ronald Stiebitz
Herr Jens Becker MBA.
Ralf-Peter Ebert
Margita Meister
Friederike Geisler
Maya Haering-Becker
Ing. Czeslaw Geisel
Herr Dietrich Gotthard B.A.
Frau Etta Wesack MBA.
Dr. Edda Hecker B.Eng.
Prof. Sibel Mälzer MBA.
Berndt Bähr
Ivonne Lachmann
Jonathan Birnbaum-Stiebitz
Edit Siering
Rosina Ortmann
Milos Kuhl B.Sc.
Franz-Josef Schmidtke
Edit Dowerg
Gundula Vollbrecht
Saskia Heidrich
Franz-Xaver Scholtz
Ing. Carmine Kroker
Dieter Trupp
Univ.Prof. Rafael Pruschke B.A.
Annita Jähn
Dipl.-Ing. Gisela Schuster B.A.
Herrmann Holt-Lindner
Dipl.-Ing. Eveline Jäkel MBA.
Thekla Schäfer
Thorsten Ruppersberger
Ole Süßebier MBA.
Damian Dörr
Hans-Josef Butte-Dussen van
Adelinde Ackermann-Knappe
Alwina Neureuther
Annekatrin Wende
Kreszentia Jockel
Karl-Josef Thanel
Faruk Schomber
Robin Flantz
Ingried Hänel
Susann Henk
Detlev Wilmsen
Frau Corinna Wähner
Univ.Prof. Zofia Rust
Ing. Pauline Linke
Susan Seip MBA.
Lore Tröst
Ing. Ayse Mangold MBA.
Claudio Freudenberger
Waltrud Jockel B.Eng.
Stefani Caspar
Patrick Pärtzelt-Henck
Ing. Klothilde Hörle B.A.
Prof. Folker Trupp B.Sc.
Ben Bonbach B.A.
Gabi Neuschäfer-Oestrovsky
Willy Reichmann
Ignaz Beer-Eckbauer
Univ.Prof. August Gunpf B.A.
Univ.Prof. Heidrun Hiller
Mike Krein
Dorina Weinhage
Univ.Prof. Sergio Kreusel MBA.
Univ.Prof. Alberto Steuer
Burkard Schlosser
Nadine Sauer
Jerzy Hermighausen-Lübs
Ralf-Peter Schacht
Oxana Schmidtke
Fernando Neuschäfer
Arne Dobes
Aldo Förster
Friedo Ritter
Lydia Schenk
Damaris Bien
Stefano Atzler
Rouven Eberhardt
Ilhan Budig
Meryem Hänel-Jungfer
Friedlinde Warmer
Thomas Weinhold B.Eng.
Heike Karge
Erkan Beier
Annekatrin Trupp
Elisabet Preiß-Thanel
Dennis Beer-Striebitz
Ing. Bianca Paffrath
Gisa Hendriks
Günter Rudolph B.Eng.
Jutta Aumann
Sibylle Stey
Niklas Schleich
Anneliese Gnatz
Lieschen Rörricht
Theresa Schüler
Hansgeorg Hettner
Hans-Adolf Junken
Ingried Stiffel B.A.
Serge Kraus B.Eng.
Dipl.-Ing. Josip Mies
Univ.Prof. Kläre Oderwald B.Sc.
Eugenia Riehl
Senta Schmiedecke
Dr. Annelene Hamann
Marco Buchholz
Philomena Salz
Anett Wieloch
Karl-Georg Zahn
Maja Jungfer
Paolo Klotz-Hein
Karin Beckmann
Ljiljana Kostolzin
Melanie Segebahn
Mike Matthäi
Dr. Lidija Weihmann
Conrad Lindau
Annaliese Gute
Ing. Gertraude Holsten B.Sc.
Prof. Meral Jüttner MBA.
Marie-Theres Pechel
Marina Radisch
Rocco Rosemann B.A.
Brunhilde Scholz
Ralph Rogge
Ingmar Hauffer
Univ.Prof. Evelyn Seifert B.A.
Ing. Magarete Herrmann B.Eng.
Prof. Friedo Reuter
Dr. Ante Jüttner B.A.
Hans-Rudolf Dehmel
Marit Mühle
Olivia Mies
Anica Tintzmann B.Eng.
Eberhard Rust B.A.
Dipl.-Ing. Stefano Wernecke B.A.
Gerwin Bonbach-Fliegner
Teresa Ladeck-Rädel
Marcella Höfig
Bertold Bloch-Beckmann
Anne-Marie Drewes
Marvin Gröttner MBA.
Evamaria Berger
Rudolph Etzold
Prof. Dolores Butte
Prof. Robert Heintze
Viola Oderwald B.A.
Ing. Muharrem Paffrath B.Sc.
Otmar Schmidtke
Leander Dobes-Schlosser
Tomas Tlustek
Murat Linke
Lili Weimer
Abram Eckbauer B.A.
Herlinde Schenk B.A.
Angelica Lorch B.Eng.
Jaroslav Benthin
Heinz-Dieter Gute
Fatih Bohlander
Dr. Walburga Kobelt B.Eng.
Annekatrin Wilms
Benjamin Lübs
Marga Scholz
Mara Roht
Dipl.-Ing. Babette Bauer B.Sc.
Marek Ackermann
Laila Trüb
Eberhardt Gute
George Weimer
Dr. Friedbert Bauer B.Eng.
Valeria Finke
Valerie Kallert B.A.
Univ.Prof. Arno Kramer B.Eng.
Isa Tlustek
Silke Scheuermann B.Sc.
Valentin Gute
Cilli Gorlitz
Evangelos Staude
Ruth Hartung
Sigmund Kensy
Gert Seifert
Maria-Theresia Scholl
Luigi Hartung
Ing. Pius Börner
Niklas Scholtz
Helmuth Jäntsch
Dolores Atzler B.A.
Friedbert Sorgatz
Bertha Gotthard
Prof. Attila Werner B.A.
Marianne Killer
Suse Hornich
Brit Heidrich B.A.
Adalbert Reising
Aenne Kraus
Anni Kraus
Magdalena Gude
Univ.Prof. Reginald Lorch
Michaele Klotz B.Eng.
Kazim Tschentscher
Dorina Rust
Ing. Anneli Nerger
Kreszenz Ruppert-Dobes
Gülten Ruppersberger-Wende
Woldemar Heinz
Amalie Gotthard
Margaretha Kohl B.Sc.
Dipl.-Ing. Canan Pölitz B.Eng.
Attila Atzler
Mattias Sorgatz-Haase
Univ.Prof. Kirstin Killer B.Eng.
Alwin Schaaf
Jonas Albers
Prof. Karl-Heinz Ruppersberger
Friedrich-Karl Sorgatz-Schmiedt
Hendrik Gehringer
Dr. Leo Schlosser MBA.
Siegbert Hartmann B.A.
Christos Beier
Antonietta Putz B.Eng.
Uschi Trüb
Cilli Siering
Richard Kostolzin
Eberhard Dobes
Danuta Kreusel
Univ.Prof. Leif Süßebier B.A.
Ludmilla Pieper
Dr. Sandra Mangold B.Sc.
Prof. Constance Girschner MBA.
Gerhart Schenk MBA.
Hildburg Dowerg-Pergande
Univ.Prof. Beate Gude
Michel Hermighausen
Hanna Knappe
Ing. Hans-Walter Ackermann
Jacek Klemt
Jakob Pohl
Meral Bolnbach
Sedat Gude
Änne Möchlichen
Alexandre Geisel
Hannelore Rädel-Keudel
Nils Stey
Emma Briemer B.Eng.
Dr. Friedhilde Adler MBA.
Adeline Hein-Metz
Dr. Anika auch Schlauchin B.Sc.
Kunigunda Fischer
Herr Bastian Ritter B.Sc.
Prof. Lieschen Mälzer B.Sc.
Hilde Walter
Eleonora Gehringer
Bayram Meister
Mirja Schottin
Dörthe Hiller
Univ.Prof. Traude Gertz
Dipl.-Ing. Manuel Kade
Thomas Hentschel
Herr Simon Fliegner MBA.
Prof. Janin Dietz
Erkan Kuhl-Oestrovsky
Nuray Aumann
Björn Rädel-Rohleder
Hans Josef Striebitz
Franz Josef Hoffmann B.Sc.
Traudl Röhrdanz-Spieß
Steven Weinhold B.A.
Klaudia Löffler-Zorbach
Ing. Bianka Bärer MBA.
Horst-Peter Thies
Theo Neuschäfer
Erica Lachmann
Alexej Hornig-Radisch
Dr. Katalin Knappe B.Eng.
Herr Urban Christoph
Elvira Mälzer
Wulf Eberhardt
Herr Tony Lindner
Helga Salz
Valentina Weihmann-Zahn
Univ.Prof. Halil Staude
Claudius Rust-Mans
Jens Drubin
Prof. Branko Weller MBA.
Evelyne Beyer
Dina Hartung
Sami Stolze-Döhn
Slavko Weitzel B.Sc.
Ewald Rädel-Rörricht
Anne Schmidtke
Kuno Kreusel
Benno Kraushaar
Elly Hande
Stephanie Kranz B.A.
Istvan Scheuermann
Reza Misicher
Dipl.-Ing. Henriette Schmidtke MBA.
Felicitas Ruppersberger
Elfi Harloff
Desiree Wulf-Jüttner
Henriette Sager
Lars Walter
Dagmar Schäfer
Dr. Daniela Linke MBA.
Vladimir Patberg-Weller
Hellmut Siering
Mirjana Drub
Natalja Löchel-Beckmann
Willibald Ziegert-Siering
Anica Kade-Steuer
Sybilla Herrmann-Pärtzelt
Wally Bien-Kraushaar
Alois Jungfer B.Eng.
André Kroker
Kristin Kabus
Reinhold Schäfer-Eimer
Kenneth Kramer
Univ.Prof. Tabea Dörschner MBA.
Theo Döring
Justus Aumann
Ilhan Hoffmann-Karz
Uli Renner
Hans-Herbert Flantz
Bertram Segebahn
Eckard Dehmel MBA.
Ing. Heinz-Josef Hoffmann
Beatrice Fechner
Hanife Ullrich
Ismail Junck-Trommler
Roswita Henck
Trude Scholtz B.A.
Till Bolander
Daniela Löwer
Prof. Guiseppe Gröttner B.Sc.
Wencke Bohlander
Frau Lisbeth Girschner MBA.
Mariechen Scholl
Luise Junk
Dajana Gehringer
Hassan Kroker-Girschner
Lina Hörle
Irmi Zobel
Evangelia Stumpf-Ruppersberger
Ing. Wolf-Rüdiger Weihmann B.Eng.
Ursel Juncken-Buchholz
Herwig Krebs
Olav Margraf
Dr. Lisa Kusch
Marlies Seifert-Roht
Nevenka Hörle MBA.
Inken Gute B.Eng.
Iwan Wilmsen-Weihmann
Mirja Wähner
Karla Freudenberger MBA.
Lara Stroh
Dipl.-Ing. Dunja Hoffmann
Chantal Fröhlich
Gülsen Davids-Heinz
Hulda Neuschäfer B.A.
Abdul Klapp-Hethur
Stefanie Dippel
Dr. Oswin Junken
Tilman Eberhardt
Andree Budig B.Eng.
Ludwina Hölzenbecher
Felicitas Kensy-Stey
Alan Eigenwillig
Nurettin Koch II
Ing. Nadeschda Bohlander
Rosa-Maria Knappe
Berta Hörle-Börner
Ana Klapp MBA.
Univ.Prof. Rotraut Juncken B.A.
Prof. Gunter Mentzel
Dr. Emin Dietz B.Sc.
Philipp Reising-Harloff
Univ.Prof. Klaus-Günter Renner B.A.
Stephen Trommler
Caterina Weinhage
Marco Kostolzin-Bruder
Krzysztof Mülichen
Marlen Flantz
Cetin Heidrich
Alice Lachmann-Finke
Baldur Käster B.A.
Prof. Achim Rose
James Kostolzin-Staude
Antonius Stoll-Krebs
Gertraude Tintzmann
Elke Huhn
Univ.Prof. Hans-Rudolf Wohlgemut
Jurij Zimmer
Andres Sager
Ulrike Hiller
Prof. Timo Schleich MBA.
Irmengard Eckbauer
Silva Plath
Dipl.-Ing. Mahmoud Mühle B.Eng.
Dr. Mario Lorch
Fatima Weinhage-Boucsein
Ronald Werner
Felizitas Becker-Mosemann
Friedl Barth
Ronny Dippel
Univ.Prof. Regina Salz B.Eng.
Artur Schaaf
Dipl.-Ing. Hans-Günther Bien
Herr Klaus Peter Krause B.A.
Siegrun Reichmann
Ing. Jessica Mende
Fredi Lindner
Apollonia Heß B.A.
Elwira Pölitz B.Sc.
Hanne-Lore Losekann B.Sc.
Franz-Peter Preiß B.A.
Thorben Stiebitz
Ing. Siegmund Hertrampf MBA.
Ron Beer
René Hölzenbecher-Berger
Anatolij Peukert
Franz Lange
Alena Neureuther
Dipl.-Ing. Sebastiano Käster B.Eng.
Jost Gröttner-Mülichen
Dipl.-Ing. Amanda Striebitz
Frau Kunigunda Schaaf B.A.
Karl-Peter Heser
Vitali Neureuther
Univ.Prof. Lydia Langern
Emilia Wagenknecht-Riehl
Gilbert Bolnbach
Muharrem Benthin
Susan Warmer
Dörte Schlosser
Helga Hövel MBA.
Kathi Seip
Willibald Gude
Dr. Auguste Sager
Karl-Heinrich Sölzer
Alina Spieß
Gebhard Seidel
Herr Goran Paffrath
Johanne Kusch
Melita Schleich
Janus Walter
René Ehlert
Hildegunde Dörr
Ida Hendriks B.A.
Lotti Rosemann
Dr. Marian Rust
Damian Jopich B.A.
Karl-Dieter Süßebier
Wiltrud Ladeck MBA.
Anto Niemeier
Frau Ivanka Killer MBA.
Anneke Jähn
Angelina Noack-Wagenknecht
Claas Wirth B.Sc.
Univ.Prof. Niklas Mohaupt MBA.
Selim Pieper
Felicia Hamann
Ricarda Warmer B.A.
Ing. Torsten Hartung B.Eng.
Danuta Lachmann-Dussen van
Senol Langern
Daniela van der Dussen B.Eng.
Prof. Swen Benthin MBA.
Anneli Heintze
Monica Drub-Davids
Michael Scholz
Herr Mario Pergande
Elvira Scholtz
Univ.Prof. Ralf-Dieter Kabus MBA.
Zeljko Kobelt B.Eng.
Burckhard Margraf
Heinz Dieter Trubin
Miriam Juncken
Hildegart Weitzel
Zoltan Preiß B.Eng.
Irma Atzler-Herrmann
Hiltraud Köster MBA.
Gereon Trapp
Pedro Hande B.Sc.
Prof. Clarissa Barth
Carmen Berger
Wladimir Rogge
Univ.Prof. Christa-Maria Lehmann B.A.
Prof. Mohammad Reinhardt
Adelgunde Wagenknecht
Sylvia Schenk
Yasmin Reising
Ing. Cord Hermighausen B.Eng.
Dorle Killer
Heinz-Georg Döhn
Dr. Gert Trapp MBA.
Olivia Schleich
Angela Hamann
Liliane Steuer
Gerta Klemt
Kamil Hecker-Hahn
Elizabeth Stahr
Justina Zirme
Veli Junitz
Nikolai Mohaupt
Marlen Schenk-Schuchhardt
Cemal Klingelhöfer-Otto
Oxana Henschel
Ingbert Hartung
Lia Heydrich
Prof. Rosa Kruschwitz B.Sc.
Hans-Christian Eimer
Dipl.-Ing. Jaroslav Henk
Mina auch Schlauchin
Linda Kruschwitz
Sigurd Holsten B.Sc.
Polina Ladeck B.A.
Dogan Häring MBA.
Gottlob Seip
Adina Söding
Michaele Neureuther
Eckhart Gutknecht
Dorina Dippel
Prof. Reza Ebert B.Eng.
Marcel Fechner
Karl Heinz Hörle
Vesna Döhn
Stilla Hornig B.A.
Prof. Catherine Knappe MBA.
Matthias Hendriks-Koch
Felicia Flantz-Lehmann
Univ.Prof. Jaqueline Dehmel
Anette Bien
