Student
Dipl.-Ing. Marica Sager
Hildegunde Wende-Spieß
Franz Josef Flantz
Hans-Herbert Gutknecht
Ing. Ramazan Kallert MBA.
Zeljko Hiller-Misicher
Nina Ladeck
Czeslaw Jacob B.Eng.
Leonhard Patberg
Herr Maik Klemt MBA.
Wilfriede Misicher
Anna-Luise Segebahn
Elli Meister
Annita Lorch
Karl-Ludwig Hoffmann
Jozef Bohlander
Erhardt Heidrich
Dipl.-Ing. Sigrun Bärer
Dipl.-Ing. Henriette Schmidtke MBA.
Herr Burkhardt Bauer B.Eng.
Irmtraut Mülichen B.A.
Stefania Möchlichen
Elizabeth Vollbrecht
Ria Stroh
Thorben Kitzmann
Aloisia Faust
Marta Herrmann
Desiree Gierschner B.Eng.
Antonius Hermighausen
Änne Möchlichen
Margot Sontag MBA.
Veronika Kruschwitz B.A.
Marion Weinhold-Pechel
Ivonne Hahn
Gabriel Süßebier-Eigenwillig
Helene Kuhl-Austermühle
Prof. Jan-Peter Schmidt
Dörte Nette
Elisa Karz-Rohleder
Cilli Lindau B.A.
Anneli Butte
Dipl.-Ing. Tina Wagenknecht MBA.
Herr Jens Becker MBA.
Dipl.-Ing. Eberhardt Fechner
René Kruschwitz
Karl-August Döhn B.A.
Ing. Eckart Becker B.Sc.
Kornelius Sontag
Mechthilde Lindau B.A.
Thomas Weinhold B.Eng.
Eitel Hethur
Friedericke Ruppersberger
Maximilian Heß
Mirjam Stumpf
Rebecca Oderwald
Wladimir Rogge
Frau Reinhilde Wirth MBA.
Erica Renner-Trapp
Bernd Blümel
Alexej Kohl
Danny auch Schlauchin
Dr. Alberto Kabus B.Sc.
Josip Hiller-Hauffer
Joana Zimmer B.A.
Sigmund Heydrich
Prof. Axel Davids MBA.
Heiner Rörricht
Cornelia Radisch
Ing. Toralf Wiek
Nathalie Krause
Geza Weller
Dr. Elly Junk
Prof. Marko Rohleder B.A.
Ing. Dörte Freudenberger
Justina Zirme
Nurettin Dippel
Senol Langern
Ing. Swen Sorgatz B.Eng.
Henriette Ladeck
Eveline Kruschwitz B.Sc.
Ing. Mike Stolze
Carina Hövel
Edgar Jüttner
Klaas Eckbauer
Dipl.-Ing. Margarita Stey
Univ.Prof. Jörg-Peter Riehl
Marcel Oestrovsky
Timo Butte
Anett Wieloch
Aurelia Mude
Stephen Ackermann B.A.
Ayse Thies B.Eng.
Klaus-Michael Mälzer
Hellmut Hein-Gnatz
Elfi Kranz
Victor Butte
Frau Edeltraud Radisch B.A.
Conrad Paffrath
Dr. Hedda Radisch
Wera Schmidt
Fabienne Conradi B.Eng.
George Paffrath MBA.
Alexandre Caspar
Heinz-Joachim Jähn
Ada Ullmann-Hermann
Heinz-Josef Conradi-Klapp
Rolf-Peter Reising B.Sc.
Lambert Röhricht-Johann
Vincenzo Haering
Univ.Prof. Ilka Jäntsch B.A.
Daria Liebelt
Vladimir Kruschwitz
Aleksander Scheuermann
Sofie Staude
Gülten Röhrdanz
Dipl.-Ing. Dörte Häring MBA.
Alwin Löffler B.A.
Vassilios Birnbaum
Anto Tröst-Schäfer
Agathe Trommler
Prof. Romy Bohnbach
Dipl.-Ing. Slavica Mälzer
Leonardo Rogge
Frau Xenia Blümel
Dipl.-Ing. Lioba Plath
Univ.Prof. Brigitte Rogner
Leni Wohlgemut-Ruppersberger
Ing. Jens Henck B.Eng.
Edit Kitzmann
Dr. Annett Siering
Milos Biggen
Ilhan Budig
Univ.Prof. Beate Eberth
Janine Söding
Sylvana Holzapfel
Wojciech Rogner
Guiseppe Kranz
Selma Girschner B.Sc.
Jens-Uwe Geisler
Hajo Jäntsch
Isidor Zobel-Ritter
Sibel Hörle
Dr. Harald Ritter
Karl-Josef Barth
Andree Budig B.Eng.
Hubertine Krein
Karl-Peter Heser
Diethelm Hübel MBA.
Nadia Herrmann
Krzysztof Niemeier-Kostolzin
Dipl.-Ing. Gudula Margraf B.Sc.
Frau Gilda Ebert
Swantje Heinz
Annemie Margraf
Prof. Ullrich Rosenow B.A.
Prof. Felicitas Dörschner
Hans-Rainer Rogner
Ivanka Rogge
Herr Rüdiger Ruppersberger
Univ.Prof. Veli Etzler
Isidor Heinrich
Emilia Wagenknecht-Riehl
Ludmila Patberg
Marlen Flantz
Tilo Hande
Dipl.-Ing. Claas Ladeck
Janos Kobelt-Henck
Hans-Jürgen Klemm
Siegward Weinhold
Antonios Zimmer
Irmhild Lorch
Liesbeth Junck-Benthin
Janusz Trub-Mühle
Dr. Diedrich Gerlach B.A.
Klaudia Seidel
Victoria Werner MBA.
Univ.Prof. Amalie Warmer B.Eng.
Ing. Hans Jürgen Häring
Dr. Rudolf Killer B.Sc.
Paula Stroh
Antonietta Barth
Bruno Hethur
Amalie Gotthard-Beckmann
Carlo Bohlander
Salih Köster
Oxana Linke B.Eng.
Gretel Hande
Dipl.-Ing. Anneliese Kühnert
Diana Haering
Hedda Haase
Gabor Steuer
Prof. Heinz-Willi Hertrampf
Vincenzo Steinberg B.Sc.
Slavko Schüler B.Eng.
Karl-Heinrich Karz
Dr. Anna-Maria Zahn B.Sc.
Herr Süleyman Karge MBA.
Dörthe Rädel
Paul-Gerhard Hein
Ing. Hanne-Lore Ackermann
Ing. August Hellwig B.Eng.
Hans-Rudolf Huhn
Gerhart Schenk MBA.
Zofia Gutknecht
Kuno Mälzer B.Eng.
Prof. Arif Mielcarek B.Eng.
Friedrich-Wilhelm Stahr-Henck
Karolina Hartmann
Pierre Köster
Isabell Eberth-Pechel
Kristian Ritter
Ulrike Hiller
Univ.Prof. Siegrun Klingelhöfer MBA.
Lea Heuser
Dorina Weinhold
René Gude B.A.
Oxana Henschel
Gunnar Weimer
Ottomar Kraus
Nurettin Mans-Klemt
Mirko Bolander
Desiree Köster
Helga Hövel MBA.
Genoveva Löffler
Univ.Prof. Heidrun Hiller
Hakan Kühnert
Univ.Prof. Jaqueline Dehmel
Dr. Joseph Bien
Frau Ina Schwital B.Sc.
Kazim Tschentscher
Enrico Kobelt-Klemt
Sigrun Mälzer
Ben Ullmann MBA.
Delia Rust
