Student
Linus Lübs
Bayram Cichorius-Zobel
Gunhild Jessel
Herr Hans Rogge
Aenne Hübel-Mühle
Ansgar Seidel
Fritz Schenk B.A.
Gerhart Davids B.A.
Tabea Birnbaum
Eugenia Sorgatz
Judith Gerlach
Friedrich Bolnbach-Gnatz
Malgorzata Tlustek
Piotr Schaaf
Gino Hartung
Adrian Trupp
Oscar Fritsch
Veit Etzler
Frau Rosa-Maria Sauer B.Sc.
Geza Weller
Nadin Radisch
Freia Lübs
Luis Jacob
Adelinde Gumprich MBA.
Ivonne Lachmann
Miriam Haering
Ing. Antonius Jacobi Jäckel MBA.
Sophie Scheibe
Klaudia Löffler-Zorbach
Faruk Schomber
Pawel Schlosser
Franka Mitschke B.Sc.
Ruthild Juncken B.Sc.
Christos Gumprich
Burkhardt Jäntsch B.A.
Reinhold Hellwig-Mülichen
Krystyna Rust-Baum
Bernt Jessel
Charlotte Hecker B.Eng.
Prof. Maria-Theresia Schaaf B.A.
Raymund Mosemann-Eckbauer
Walfried Siering
Radmila Schomber B.Eng.
Aleksander Klapp-Sauer
Bertha Ritter-Drubin
Ing. Natalie Oderwald B.Sc.
Otmar Wende
Dipl.-Ing. Alf Graf
Frau Ellinor Tintzmann
Prof. Marie Plath
Reza Misicher
Kristian Meyer
Volker Hettner
Brunhild Briemer B.Sc.
Ing. Alexander Mude
Mechtild Niemeier
Toni Dehmel-Striebitz
Ing. Gerti Franke
Ing. Eugenie Kreusel MBA.
Dajana Ring
Linus Schuchhardt
Herr Winfried Vollbrecht B.Eng.
Giuseppe Stahr
Hanne-Lore Losekann B.Sc.
Ing. Carolin Matthäi
Diethelm Hofmann
Karsten Wohlgemut
Univ.Prof. Aloisia Fröhlich B.A.
Franz Ortmann B.Eng.
Dajana Trapp-Kreusel
Antonius Käster
Gabriele Stahr
Univ.Prof. Ralf-Dieter Kabus MBA.
Dr. Gudula Scheuermann
Waltrud Stroh
Ulrike Rädel B.Eng.
