Student
Hans-Ulrich Dussen van
Frau Etta Wesack MBA.
Isabel Rose
Ekrem Zänker
Gerda Schleich
Robert Etzold
Sylvester Neuschäfer-Schacht
Herr Oliver Stahr
Mehmet Beckmann-Geisel
Wilfried Börner
Nurten Henschel-Stroh
Serge Kraus B.Eng.
Dipl.-Ing. Margarete Schmidt
Prof. Rudolph Linke
Beatrice Bender
Czeslaw Siering
Dr. Natascha Schmidtke B.Eng.
Andre Stroh
Willi Heinz
Margot Sontag MBA.
Sylvia Schenk
Karl-Georg Sontag B.Sc.
Lilli Meyer-Reuter
Anni Dietz-Blümel
Arif Pergande-Wagenknecht
Rose Henschel
Fatima Heser B.Eng.
Dipl.-Ing. Ladislaus Weinhold
Ing. Hans Jürgen Häring
Ing. Kunigunde Wieloch
Frau Therese Henk B.A.
Ditmar Pölitz B.A.
Lutz Röhricht B.A.
Dipl.-Ing. Lieselotte Trüb B.A.
Ing. Ben Lindau MBA.
Andrei Säuberlich
Heinz-Wilhelm Werner
Prof. Heinz-Josef Radisch B.A.
Monique Schleich-Kroker
Esther Ehlert
Marek Mitschke B.Sc.
Kathi Wesack
Janna Kambs
Dipl.-Ing. Magrit Junck
Ellen Jessel-Walter
Hans-Gerhard Döhn
Jeanette Mälzer
Ing. Irmtraud Wiek MBA.
Irmtrud Pohl
Prof. Carina Eimer
Liane Fechner
Marjan Segebahn B.Eng.
Monika Haering
Sigrun Mälzer
Renata Holt-Heintze
Adem Hörle
Patrick Pärtzelt-Henck
Fatma Möchlichen
Angela Hamann
Nadeschda Pölitz
Alla Weihmann
Univ.Prof. Beate Eberth
Ilonka Noack
Henryk Jacobi Jäckel B.Sc.
Erhard Reinhardt
Claus Butte
Univ.Prof. Dorle Fröhlich
Margaretha Kohl B.Sc.
Adrian Fiebig-Dörschner
Siegrun Reinhardt
Inga Ruppersberger
Herr Roderich Hauffer
Rudolph Etzold
Ing. Nadeschda Bohlander
Fernando Tschentscher-Schacht
Univ.Prof. Dolores Jäkel
Nadja Geisler
Kay-Uwe Finke
Oda Barkholz
Alfons Schleich B.A.
Gretchen Jessel B.Sc.
Marcel Fechner
Flora Etzold
Urs Matthäi
Herr Mario Thanel
Herr Oliver Pechel
Ilse Henschel
Pasquale Karge
Wolfhard Rosemann B.Eng.
Bernhard Becker
Eggert Rörricht-Schwital
Prof. Ana Textor
Ryszard Süßebier-Neureuther
Cäcilie Haase
Desiree Gierschner B.Eng.
Prof. Romy Bohnbach
Gertraud Tröst
Willibald Seidel
Urszula Killer B.A.
Veit Beckmann
Lotte Kitzmann B.A.
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Karl-Hans Weinhold-Noack
Friedrich-Karl Zorbach
Ing. Chantal Schleich B.Eng.
Guiseppe Tschentscher
Wolfhard Vogt
Antonietta Barth
Birger Klapp
Anny Wähner
Gretchen Pohl
Joanna Weinhold-Förster
Dr. Helma Kohl B.A.
Josef Butte-Lindau
Ferenc Bolzmann-Girschner
Berndt Grein Groth B.Sc.
Janko Margraf MBA.
Halina Austermühle-Bender
Ottilie Hartung
Esther Hoffmann-Hermighausen
Kaspar Junken
Univ.Prof. Gregor Gieß MBA.
Dipl.-Ing. Detlef Schacht
Dipl.-Ing. Adriana Geißler
Birthe Graf
Klaus Peter Weller
Beatrice Fechner
Liliana Davids
Iris Mans
