Student
Univ.Prof. Dragan Thies MBA.
Dominik Huhn
Heino Römer
Wanda Vollbrecht-Reinhardt
Magret Oderwald
Zdravko Jacob
Franziska Beer
Ekaterina Wieloch
Karl-Georg Lehmann
Univ.Prof. Mahmoud Liebelt
Fatima Eckbauer-Rosemann
Josef Langern
Dr. Pius Säuberlich B.Sc.
Dagobert Hornig
Julia Hecker-Krebs
Cindy Schleich
Gabor Steuer
Wolfgang Beier-Mohaupt
Ingelore Kobelt MBA.
Änne Ring MBA.
Judith Meyer
Dr. Ingried Sorgatz B.A.
Herr Leonid Röhricht MBA.
Laila Trüb
Jan-Peter Scheuermann-Jungfer
Wally Bien-Kraushaar
Ing. Hanny Noack MBA.
Juan Noack
Natalia Stroh
Ing. Corinne Steckel B.A.
Clemens Thanel
Dr. Lisa Stroh B.Sc.
Alan Eigenwillig
Dipl.-Ing. Jiri Wesack B.A.
Heinz-Günter Schuster
Tobias Liebelt
Felix Freudenberger
Heide-Marie Heß B.A.
Herr Julian Gotthard B.Eng.
Cosimo Löffler B.Sc.
Dipl.-Ing. Julian Mühle
Irmtrud Röhrdanz
Marco Schinke B.Eng.
Theresia Liebelt
Paolo Weller-Heinrich
Steffen Cichorius B.Eng.
Siegrun Reinhardt
Otmar Wende
Dipl.-Ing. Willibert Süßebier
Frau Nadeshda Ruppert
Dipl.-Ing. Giuseppina Etzler B.Sc.
Saskia Roskoth B.Eng.
Verena Hornich
Univ.Prof. Till Vogt MBA.
Herr Johann Kostolzin
Ellinor Kraus
Bertha Ritter-Drubin
Babett Pruschke-Schäfer
Yvette Schinke
Frau Rosalinde Riehl
Prof. Klaus-Ulrich Boucsein MBA.
Dipl.-Ing. Kriemhild Löchel
Michaele Schwital
Frau Constanze Heidrich B.Sc.
Anette Bien
Horst-Günter Renner
Annamaria Baum MBA.
Heidelore Pärtzelt MBA.
Hans-Herbert Eckbauer
Aleksander Klapp-Sauer
Tomislav Schüler
Wolf Schottin-Gunpf
Klaus-Peter Schüler-Schaaf
Iris Ullrich
Hanni Wieloch
Hans Jürgen Winkler
Asta Knappe
Johan Baum
Klaus-D. Segebahn
Anika Trüb
Ben Schomber
Miodrag Dörr-Austermühle
Friedo Meister-Klemm
Nadeshda Schenk
Mariana Wirth
Julia Conradi-Mentzel
Mirja Dehmel B.A.
Milan Holzapfel
Betti Zirme B.A.
Jochen Naser
Herr Franz Geisler B.A.
Dr. Isabell Trupp
Dipl.-Ing. Rigo van der Dussen B.Eng.
Frau Corinna Wähner
Norbert Eimer
Univ.Prof. Sebastian Sontag
Martina Hartung
Jakob Pohl
Dipl.-Ing. Margarete Schmidt
Jeannette Schleich
Elvira Gute-Käster
Rena Radisch
Herr Tomislav Ladeck
Univ.Prof. Ludwig Jähn B.A.
Faruk Meister
Hannah Jacobi Jäckel
Dipl.-Ing. Lara Tlustek
Herr Mahmoud Schleich B.Sc.
Karl-Peter Hering
Annette Ullmann
Karl-Georg Dörschner
Siegrid Paffrath
Gusti Schleich
Marius Klotz
Prof. Thekla Hahn
Prof. Gerda Barkholz MBA.
Hedda Haase
Vinko Schönland B.Eng.
Sibilla Eimer
Ing. Zlatko Gerlach
Traudl Gierschner
Hardy Wende B.Sc.
Annie Noack
Ing. Tilman Kitzmann
Slawomir Drub-Gute
Bozena Schuchhardt
Catrin Weller
Ivana Nerger
Margret Dehmel
Sofia Mielcarek B.A.
Geraldine Eckbauer
Herr Hanno Hesse
Prof. Gesine Lange
Mohamed Heydrich
Burckhard Caspar
Ing. Nelli Hornig
Frau Linda Weiß B.Eng.
Ljiljana Löwer B.A.
Mehmet Beckmann-Geisel
Pauline Mosemann
Günter Fischer
Ahmad Preiß
Annemarie Häring
Marlen Schenk-Schuchhardt
Radmila Schomber B.Eng.
Kirsten Heydrich
Marietta Geißler
Dipl.-Ing. Nina Boucsein MBA.
Erhard Geisel
Thaddäus Geißler
Herr Darius Heuser
Winfried Hermann
Grit Röhricht-Rosemann
Ing. Iwan Wagner
Prof. Danny Bähr B.Eng.
Gunhild Stroh-Jacob
Egbert Bender
Ing. Meik Eberhardt B.A.
Univ.Prof. Marita Pohl
Cornelius Jacobi Jäckel
Frau Elfi Winkler MBA.
Sigismund Junitz
Prof. Gaby Ernst MBA.
Heinz-Josef Meister
Bernhardine Wilmsen
Helmar Barth
Suse Pergande-Gröttner
Viviane Kensy
Fredi Jäntsch
Dipl.-Ing. Jost Bruder B.Eng.
Regina Reuter
Ing. Clemens Wirth
Edit Rädel
Werner Kramer B.A.
Heinz Dieter Trubin
Eleni Krause B.A.
Rose-Marie Schüler
Birger Becker
Gertrude Lehmann-Kostolzin
Herr Herbert Dowerg
Herta Hendriks
Milos Trüb
Dr. Czeslaw Neureuther
Boris Stumpf
Patric Geisler-Becker
Univ.Prof. Margareta Naser
Dipl.-Ing. Cläre Geißler
Augustin Hoffmann MBA.
Hans-Dieter Scholl
Ing. Zbigniew Warmer MBA.
Ing. Anneli Nerger
Regina Becker
Hans-Albert Schwital
Roswita Gumprich-Butte
Melita Schacht
Bastian Röhrdanz
Dr. Fedor Plath B.Sc.
Univ.Prof. Heinrich Knappe B.A.
Emilie Scholz
Univ.Prof. Filiz Rudolph MBA.
Michel Heß
Karl-August Döhn B.A.
Emine Lübs
Dipl.-Ing. Gisa Jüttner B.Sc.
Stephan Stolze-Holt
Frau Patricia Gorlitz B.A.
Dipl.-Ing. Rouven Kallert MBA.
Gitte Buchholz
Anja Meyer B.A.
Reimer Kitzmann
Nurettin Koch II
Thea Bauer
Rosalia Heydrich
Herr Louis Hövel
Dipl.-Ing. Edda Barth MBA.
Wiltrud Dietz
Romy Etzold
Jerzy Hermighausen-Lübs
Darius Loos
Domenico Nohlmans-Eberhardt
Lidija Pärtzelt
Sigmund Mosemann
Dr. Miguel Jungfer
Herr Wieslaw Trupp
Prof. Siegrun Langern
Edeltraud Kaul
Mijo Jessel B.A.
Matthias Dowerg
Annemie Herrmann
Arnulf Süßebier
Jan-Peter Grein Groth
Dr. Mohamed Kroker B.Eng.
Dr. Franz-Peter Löffler
Ing. Bianka Bärer MBA.
Jana Wulf MBA.
Julia Graf
Frau Danica Davids B.A.
Ing. Käthi Schäfer
Fredi Wilmsen
Otto Butte
