Student
Dana Löwer MBA.
Dipl.-Ing. Jan-Peter Mende MBA.
Carmelo Klapp-Berger
Iwan Renner-Dussen van
Suse Pergande-Gröttner
Otmar Schmidtke
Dietlinde Käster
Beatrice Bender
Gisela Paffrath
Helena Hettner
Herr Guido Knappe B.Eng.
Margareta Losekann
Sofia Austermühle
Helga Gerlach-Seifert
Gabriel Kreusel
Alicia van der Dussen-Patberg
Edith Binner
Sönke Gumprich
Gülsen Junck
Steve Scholl-Ladeck
Dr. Franz-Peter Löffler
Folkert Schwital
Univ.Prof. Ditmar Mitschke B.A.
Anastasios Karge
Lorenz Sauer
Dipl.-Ing. Tina Kranz MBA.
Frau Yvonne Trupp B.A.
Fatih Bohlander
Marianne Ziegert-Werner
Prof. Magnus Dörr B.Eng.
Caterina Weinhage
Diethelm Hübel MBA.
Simon Hahn
Canan auch Schlauchin-Dussen van
Polina Hettner
Clarissa Adler
Henning Fechner
Prof. Beatrice Misicher
Mirja Bähr
Ing. Leni Rosenow B.Eng.
Ricarda Steuer
Kira Tschentscher MBA.
Dipl.-Ing. Henriette Schmidtke MBA.
Univ.Prof. Gusti Schlosser
Irmtrud Pohl
Erhard Otto
Henny Wulff
Dr. Leo Schlosser MBA.
Gotthold Krause
Monique Liebelt-Ebert
Albin Fischer B.Eng.
Asta Knappe
Ingetraud Austermühle-Dowerg
Ing. Kay-Uwe Flantz
Elmar Patberg
Hartwig Zirme
Domenico Kade B.A.
Nikolas Ebert
Anne-Katrin Höfig
Andy Jockel B.Eng.
Isidor Atzler
Augustin Jopich
Prof. Sandy Butte
Dipl.-Ing. Konrad Schenk
Ing. Zofia Ernst
Hasan Klemm
Ernst-Otto Heß-Hartmann
Cecilia Stoll
Ing. Leonore Haering MBA.
Dorothea Finke
Jiri Hoffmann B.Sc.
Adalbert Reising
Prof. Almuth Dippel
Gunhild Holt-Rust
Franz-Peter Preiß B.A.
Apostolos Kreusel-Noack
Ignatz Gutknecht
Volkhard Köster-Jüttner
Alida Tröst
Lieschen Röhrdanz
Amelie Pruschke MBA.
Irmi Gute
Prof. Hannah Hölzenbecher MBA.
Hiltraud Klemm-Pärtzelt
Prof. Tobias Börner
Dipl.-Ing. Nathalie Bender
Ahmet Stumpf
Nadeschda Barkholz
Hans-Theo Thies
Univ.Prof. Cecilia Scholl MBA.
Jacob Süßebier
Leonardo Rogge
Hanspeter Benthin
Marion Kuhl
Miroslaw Hentschel-Stoll
Univ.Prof. Nadine Gnatz
Marcel Stumpf
Natalja Seidel
Zdravko Niemeier
Prof. Liliana Klemm MBA.
Ing. Imke Eigenwillig B.A.
Univ.Prof. Margitta Wagenknecht B.Eng.
Maren Roht
Ben Täsche
Aldo Kusch-Klemm
Prof. Dolores Butte
Martina Hartung
Ekkehart Kreusel
Kati Süßebier
Hedda Mielcarek
Herr Bodo Steckel
Dr. Anna-Maria Zahn B.Sc.
Ing. Gundolf Steinberg B.Sc.
Dörthe Hiller
Amalia Wulf
Gotthard Christoph
Univ.Prof. Marleen Kabus
Heinz-Dieter Caspar-Hande
Univ.Prof. Waldemar Döring
Kamil Hendriks
Janin Höfig B.A.
Brunhild Müller
Linus Mans-Röhrdanz
Frau Annita Beckmann
Dipl.-Ing. Petar Lübs
Ing. Sebastian Killer B.A.
Gunnar Weimer
Dipl.-Ing. Helmut Hauffer
Kai-Uwe Oderwald
Mattias Henk
Leokadia Bloch
Ellen Hahn-Spieß
Gerard Förster
Klaus-Dieter Koch II B.A.
Dipl.-Ing. Utz Henschel MBA.
Felix Wilms
Renato Bolnbach
Frithjof Gertz
Rosi Renner-Graf
Elise Hentschel
Carina Hövel
Jörn Trupp MBA.
Herr Gordon Meister
Dr. Cengiz Säuberlich
Roderich Weitzel
Theo Trubin
Pia Steuer
Sybilla Herrmann-Pärtzelt
Hüseyin Hethur
Friedo Ritter
Volkmar Mosemann
Marleen Heser
Romy Zahn-Bien
Dariusz Reising-Ernst
Dr. Gabriel Junitz
Dipl.-Ing. Sieglinde Fischer B.Eng.
Dr. Gundolf Römer MBA.
Milka Wohlgemut-Meyer
Bernhard Rogner B.Eng.
Raissa Gehringer-Putz
Hermine Eberhardt
Klaus-Jürgen Jockel
Ing. Valentina Börner
Iwan Butte B.Sc.
Dominik Naser B.A.
Arnfried Lorch B.A.
Frauke Stadelmann
Erich Putz
Alexandre Häring
Inga Ruppersberger
Theodor Striebitz
Ryszard Süßebier-Neureuther
Karl-Georg Dörschner
René Ehlert
Dipl.-Ing. Sandro Bärer B.A.
Laurenz Scholl
Univ.Prof. Sigurd Fischer B.Eng.
Burkhardt Holt
Dipl.-Ing. Bernward Putz B.Eng.
Urban Peukert
Ingetraud Caspar
Ehrhard Klotz
Ekrem Zänker
Frau Josefa Henschel B.A.
Klaus Dieter Rädel
Juliana Schönland
Toralf Pieper
Burkhard Holt-Schleich
Albrecht Rust-Heinrich
Hubert Hertrampf
Prof. Maya Peukert
Alwine Riehl
Frau Rosa-Maria Sauer B.Sc.
Mechtild Niemeier
Herr Jonathan Hänel MBA.
Univ.Prof. Paulo Jähn
Geraldine Eckbauer
Annie Harloff B.A.
Univ.Prof. Janos Rörricht MBA.
Ing. Rosina Kabus MBA.
Elisabeth Käster
Irmi Koch
Melita Schacht
Sebastian Warmer
Klaus-Peter Zorbach
Dörthe Mitschke-Holt
Sieghard Kensy
Agatha Sager-Geisler
Ehrhard Häring B.A.
Madlen Salz
Thomas Hentschel
Prof. Pascale Kruschwitz
