Student
Frau Ingelore Gertz
Ing. Bernard Schleich B.Sc.
Otmar Schmidtke
Veronique Löwer
Magret Bähr
Mareen Mies B.Eng.
Prof. Cathrin Misicher
Annekatrin Wende
Stephen Lübs
Univ.Prof. Karin Beier
Svetlana Schenk-Barth
Dipl.-Ing. Tim Jäntsch B.Eng.
Calogero Staude B.A.
Prof. Arif Mielcarek B.Eng.
Emmerich Wilmsen
Myriam Schäfer-Tschentscher
Theresia Henck
Vanessa Hornig
Gerhardt Barkholz B.Eng.
Karla Wirth
Diedrich Scheel-Hübel
Josefine Rosenow-Hertrampf
Ing. Kläre Radisch
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Zita Holt
Univ.Prof. Nevenka Döhn B.Eng.
Herr Emin Trubin
Fredi Jäntsch
Herbert Budig
Anatolij Steinberg
Frau Evamaria Geißler
Alwina Hettner
Joerg Döhn
Mathias Matthäi
Dipl.-Ing. Betty Niemeier MBA.
Dipl.-Ing. Cristina Vogt
Slawomir Ehlert-Reising
Celal Seifert
Dorit Dowerg
Carmela Lindau
Ann Spieß MBA.
Marvin Kabus B.A.
Dipl.-Ing. Augusta Lachmann B.A.
Ellen Liebelt
Dipl.-Ing. Margarethe Holt MBA.
Adalbert Boucsein
Ing. Wolf-Rüdiger Herrmann B.Sc.
Canan auch Schlauchin-Dussen van
Gönül Barth-Zobel
Gottfried Keudel MBA.
Hans-Jochen Stolze
Nadin Schomber
Romy Zahn-Bien
Dr. Heide Jockel B.Sc.
Hilde Lübs
Prof. Magda Textor
Bernadette Sorgatz
Siglinde Zahn
Calogero Mude-Etzold
Gundel Bien MBA.
Ing. Sebastian Killer B.A.
Imre Mülichen
Micha Albers-Wilms
Cora Scholtz
Arnulf Heidrich
Friedrich-Wilhelm Holsten
Bekir Gumprich-Kabus
Isabell Buchholz
Dr. Mirko Langern MBA.
Silvester Fischer
Andrey Lorch
Ilja Hölzenbecher-van der Dussen
Ida Hendriks B.A.
Univ.Prof. Alberto Steuer
Elke Huhn
Dr. Gabriela Geißler
Regina Becker
Curt Mühle
Ing. Hedi Wulf
Ilka Lachmann
Univ.Prof. Ortwin Geisler MBA.
Univ.Prof. Bela Kraus
Herwig Krebs
Desiree Klotz
Nico Drewes
Gerd Becker
Arif Killer
Thoralf Geisel
Dr. Lars Klemt
Annelene Adolph B.A.
Alena Neureuther
Arif Pergande-Wagenknecht
Hansjürgen Faust
Ruthild Juncken B.Sc.
Hans-Joachim Häring
Wolf Schottin-Gunpf
Heinz-Willi Holt
Prof. Liliane Gehringer MBA.
Dipl.-Ing. Svea Neureuther
Dominik Huhn
Vittorio Harloff
Piotr Schaaf
Friedl Barth
Silke Biggen MBA.
Thies Blümel
Francesca Wieloch
Lidia Franke
Nina Putz-Ritter
Josefa Hauffer
Catrin Caspar
Geza Beckmann
Klaus-Ulrich Blümel B.A.
Univ.Prof. Roger Stadelmann B.Sc.
Dogan Bolander
Heinz-Gerd Söding
Prof. Woldemar Beier B.A.
Isabell Kroker B.Eng.
Anna Lübs
Dr. Bernfried Bärer
Marie-Louise Hauffer
Prof. Ruth Gehringer
Elfi Bolander
Ing. Hans-Walter Ackermann
Antonius Käster
Dierk Steinberg
Dr. Natascha Trüb
Dr. Harald Ritter
Heinz-Gerd Beyer
Liesel Klapp
Dr. Jurij Nohlmans B.A.
Frauke Dörschner
Dipl.-Ing. Emmy Börner
Dipl.-Ing. Laurenz Gerlach MBA.
Frau Anne-Kathrin Wagner
Florian Wulff
Lorenz Hande-Hamann
Urte Caspar
Dana Jäntsch
Friedrich-Wilhelm Stahr-Henck
Hella Pergande MBA.
Herta Hendriks
Ilka Heß
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Gebhard Sauer
Metin Klemt
Diana Haering
Zenon Hahn MBA.
Dr. Silvester Krein B.Sc.
Waltrud Jockel B.Eng.
Dipl.-Ing. Petar Wohlgemut
Zita Wieloch-Scholtz
Ing. Hannes Jähn B.Sc.
Evangelia Stumpf-Ruppersberger
Boris Stumpf
Anka Boucsein
Renate Franke B.A.
Ing. Leander Weimer B.Eng.
Corina Pergande
Juan Schweitzer
Dipl.-Ing. Annemarie Trommler B.Sc.
Thea Schmiedecke
Univ.Prof. Markus Finke B.Sc.
Univ.Prof. Ilja Hentschel MBA.
Daniele Seip
Alicja Stiffel
Univ.Prof. Ludwig Jähn B.A.
Stefanie Pruschke
Ilija Hofmann
Isabelle Förster-Beyer
Darius Kallert
Univ.Prof. Sigurd Fischer B.Eng.
Ing. Aziz Hein
Vittorio Hertrampf
Pavel Pärtzelt B.Sc.
Univ.Prof. Jann Schleich
Sophie Rädel
Univ.Prof. Willfried Werner B.Sc.
Nadja Ladeck B.Sc.
Marleen Heser
Jacek Bärer
Prof. Ullrich Rosenow B.A.
Wolfhard Jäkel MBA.
Ricarda Fröhlich B.A.
Gislinde Lehmann
Justine Dippel-Rosemann
Luciano Wirth
René Gude B.A.
Larissa Käster
Dipl.-Ing. Claas Ladeck
Kira Hartmann B.Sc.
Ilonka Rose
Frau Lisbeth Girschner MBA.
Heinz-Otto Linke
Silja Kraus-Schuster
Zeynep Keudel
Zita Winkler
Univ.Prof. Catharina Neureuther B.Sc.
Waldemar Hendriks
Hanne Ackermann
Moritz Roht
Torsten Pergande
Mechtild Niemeier
Bertold Bloch-Beckmann
Matthäus Hübel
Benita Geißler
Prof. Henryk Kitzmann
Dipl.-Ing. Utz Henschel MBA.
Fatma Löffler B.Sc.
Ricarda Steuer
Fabienne Holt MBA.
Catrin Hamann
Hans-Josef Butte-Dussen van
Prof. Heide Krebs
Herlinde Schenk B.A.
Herr Claus Killer
Wiltrud Dietz
Dipl.-Ing. Kristine Klapp MBA.
Anne-Katrin Lorch
Felicitas Biggen
Fredy Ring
Liliane Koch II
Ann Mielcarek
Ing. Sina Johann MBA.
Ulf Kensy MBA.
Gusti Henschel
Ing. Marlene Wirth B.Sc.
Univ.Prof. Waldemar Döring
Luciano Klotz
Vincenzo Zirme
Folkert Reinhardt B.Sc.
Gertraud Mentzel
Katrin Oestrovsky-Fechner
Galina Kraus-Hermighausen
Ing. Horst-Dieter Seip
Ibrahim Eberth
Herr Arnulf Kohl
Ramona Sontag
Leokadia Bloch
Rouven Ziegert
Luigi Wähner
Karl-Josef Thanel
Bernhard Becker
Timo Siering-Hübel
Lissi Kohl
Prof. Gabriella Holt B.Eng.
Ulrike Schleich-Süßebier
Evi Wilmsen MBA.
Justina Neureuther
Walther Hofmann
Senta Weihmann
Dursun Atzler B.A.
Fredy Bachmann B.Eng.
Sibilla Bachmann
Frau Cordula Anders B.Eng.
Gertraude Salz-Gnatz
Oscar Junitz
Ing. Petar Hänel MBA.
Sebastian Stiffel B.A.
Gaetano Paffrath
Hulda Neuschäfer B.A.
Sami Mans-Ullrich
Niko Butte-Rosenow
Dariusz Wirth
Grzegorz Bohlander
Ronny Scholtz
Lothar Birnbaum
Viola Oderwald B.A.
Jelena Jüttner
Jennifer Berger
Stephen Kensy
Herr Eberhardt Gierschner
Univ.Prof. Ignatz Baum
Elli Meister
Univ.Prof. Jaqueline Dehmel
Herr Tomislav Ladeck
Univ.Prof. Nermin Rosemann B.Sc.
Artur Budig
Waltrud Scholl
Alwine Riehl
Univ.Prof. Sonja Hande MBA.
Elias Langern
Univ.Prof. Friedl Tlustek
Dorit Ebert
Curt Schönland
Heino Schönland-Hermann
Gabriel Werner
Karl-Heinrich Jacob
Ulla Süßebier
Dr. Hans-Willi Hertrampf MBA.
Danica Atzler
Dr. Marco Scheuermann
Leokadia Finke-Dippel
Adelgunde Beer
Nadia Steckel
Ing. Alban Mohaupt
Ingeborg Wesack
Engelbert Sauer MBA.
Siegward Weinhold
Karl-Heinrich Kraus B.A.
Ing. Carolin Anders
Ismail Junck-Trommler
Georgia Liebelt
Baptist Radisch MBA.
Celal Mühle
Valentin Döring
Hans-Willi Baum-Staude
Helga Salz
Klaus-Dieter Hänel B.Sc.
Claire Holt
Frau Anna Mangold B.A.
Bayram Hering
Lorenzo Hornig
Otto Lindner
Roselinde Kusch-Röhrdanz
Kornelia Kade
Waltraud Trapp-Pechel
Caroline Wende
Till Bolander
Sabrina Schomber
Oliver Biggen
Franz-Josef Etzold
Otmar Ditschlerin
Hansjürgen Säuberlich
Univ.Prof. Gino Wagner B.Sc.
Martine Zobel
Maren Bachmann-Stumpf
Teresa Schomber B.A.
Margitta Wulf-Nerger
Harriet Ullmann
Klaus-Dieter Wende
Prof. Beatrix Döring MBA.
Agnieszka Steckel
Götz Budig
Engin Trub
Ingried Bähr
Niklas Schleich
Raymund Koch II-Margraf
Dittmar Berger
Adelheid Schinke
Anette Anders
Ariane Roskoth
Denny Kusch
Sönke Gumprich
Arnulf Zimmer-Seifert
Rolf Wirth
Kristian Albers
Prof. Claudia Mude
Ing. Helmuth Bruder
Dr. Mohammed Höfig
