Student
Robin Schuchhardt-Reichmann
Susanna Jäntsch
Karlfried Zahn B.A.
Gretchen Pohl
Miroslawa Gude B.Sc.
Olga Stahr
Paulina Bender-Liebelt
Heiderose Bärer
Lisette Mühle
Ing. Agnes Zobel
Cosima Johann
Ing. Wiltrud Sauer B.Sc.
Rosita Köster B.A.
Geza Hertrampf B.A.
Marlene Heuser-Trub
Harold Scheibe
Valeria Conradi
Nina Müller B.Eng.
Ing. Istvan Finke
Claire Rogner-Scheel
Hermann-Josef Zimmer
Freia Buchholz
Vadim Jacobi Jäckel
Alexandre Caspar
Prof. Joanna Kreusel
Ing. Gottfried Hoffmann
Zofia Schönland B.Sc.
Bianka Holsten
Frank-Michael Löwer-Ring
Mechthilde Lindau B.A.
Julie Radisch MBA.
Mariola Gnatz
Guntram Warmer
Anica Sorgatz B.Sc.
Lissi Thanel MBA.
Dr. Edda Hecker B.Eng.
Prof. Manuela Schleich B.Sc.
Dr. Wolf-Rüdiger Trüb
Gotthard Löwer
Dipl.-Ing. Angelique Ortmann
Anto Kostolzin
Hans-H. Schönland
Lukas Juncken MBA.
Wilfriede Ehlert
Univ.Prof. Josefine Lindau
Zeki Hartung
Jolanda Rose
Henning Scholl
Friedrich Bolnbach-Gnatz
Dr. Annelene Hamann
Jelena Löffler
Ljudmila Krebs
Erol Röhrdanz
Univ.Prof. Amelie Gröttner B.Eng.
Kristin Bohlander B.Eng.
Dr. Elzbieta Mitschke B.Eng.
Ing. Danica Gieß MBA.
Alexej Röhrdanz
Willy Hornig
Saban Etzler B.Eng.
Herlinde Schenk B.A.
Tomasz Preiß
Cilli Gorlitz
Rosina Ortmann
Antonio Margraf
Sibille Kallert
Marlen Flantz
Caroline Wende
Bodo Finke
Sedat Matthäi
Herr Hellmuth Birnbaum B.A.
Ida Buchholz B.Eng.
Phillip Rosemann-Bachmann
Hanno Salz
Justus Aumann
Hanni Scholz-Weitzel
Stella Barth
Nikola Kitzmann
Lucia Kohl
Gitte Briemer
Emma Blümel
Lissy Dippel
Brian van der Dussen
Reimar Klemm MBA.
Wencke Riehl-Stoll
Carsten Hartmann
Anselm Mühle
Frau Herlinde Kade B.A.
Bertold Stadelmann
Ing. Alla Schottin B.A.
Marliese Becker
Irmela Krein-Bolzmann
Swetlana Binner
Anastasios Karge
Gina Killer
Louis Kostolzin
Leonardo Birnbaum
Tanja Renner B.Sc.
Jorge Weitzel
Gabriella Rädel
Ernestine Karz
Ella Keudel
Ernst-August Gunpf
Kriemhild Jähn
René Ehlert
Cecilia Eigenwillig
Ernst-August Gutknecht
Jakob Pohl
Monica Blümel
Florence Schulz
Vito Davids-Schwital
Edeltraut Klemt
Elzbieta Hartung
Victor Butte
Reinhold Schönland
Hans-Willi Kruschwitz B.Sc.
Gereon Jacob
Wojciech Girschner B.A.
Stavros Ortmann
Herr Bartholomäus Adolph MBA.
Gundel Bien MBA.
Dorothee Blümel
Heinz Dieter Trubin
Prof. Branko Weller MBA.
Siegmar Keudel-Gude
Dr. Zeki Eberth
Prof. Anka Schulz
Dipl.-Ing. Emmy Börner
Senol Hölzenbecher
Dagobert Rogge
Daniele Seip
Herr Karl Dippel B.A.
Petar Hamann
Mary Reuter B.Sc.
Marie-Therese Steuer
Dominic Möchlichen
Anna-Lena Sontag-Köhler
Rolf-Peter Staude
Nicole Hoffmann
Ilse Krebs
Hans-Adolf Junken
Hans-J. Bolander
Samuel Ackermann
Damian Holsten
Hedi Bärer
Helen Tschentscher
Dr. Lea Kraushaar B.Eng.
Rolf-Dieter Kensy
Halil Löwer
Janusz Rädel B.Sc.
Herr Gotthard Wilms
Hardy Wende B.Sc.
Prof. Ferdinand Gertz B.Sc.
Giesela Dowerg
Zbigniew Weinhage
Heinz-Willi Jockel
Anne-Kathrin Geisler
Dr. Mato Geisel
Herr Darko Gutknecht MBA.
Edmund Scholtz B.Sc.
Cäcilie Haase
Jacqueline Hofmann
Herr Leonid Röhricht MBA.
William Zirme
Freia Lübs
Burghard Davids
Lili Weimer
Yvette Dietz
Hasso Renner
Cora Reichmann B.A.
Marko Trupp
Burkhardt Jäntsch B.A.
Erwin Jopich
Dr. Leopoldine Kostolzin
Fredo Paffrath-Kohl
Lina Hörle
Univ.Prof. Christoph Beier B.A.
Aurelia Sorgatz
Annekatrin Wende
Monja Heidrich
Hagen Weimer
Aleksej Fröhlich
Adelheid Salz
Hedi Butte-Neuschäfer
Marija Stahr
Dr. Irmtraut Gnatz B.Eng.
Maurizio Hermann
Daniela Schweitzer
Raisa Stey-Sauer
Arnulf Kusch
Ilias Seip
Dr. Saban Hoffmann B.Eng.
Ing. Silke Kambs
Barbara Kambs
Hartmut Biggen-Trapp
Dr. Inna Mude MBA.
Constantin Kostolzin
Aynur Bohlander
Justus Schleich-Drewes
Dr. Ferdinand Pölitz
Dr. Thekla Lindau B.Sc.
Antonius Pärtzelt-Jüttner
Lilly Girschner-Ritter
Utz Staude
Fatma Hein
Univ.Prof. Nadine Gnatz
Kunibert Trommler-Renner
Rahel Heidrich-Jüttner
Dipl.-Ing. Matteo Baum
Cetin Heidrich
Gerhart Stumpf
Univ.Prof. Steffen Tröst
Vesna Wähner
Heinz-Otto Geisler B.Sc.
Krista Junken-Hövel
Ing. Mohammed Geißler B.Eng.
Reza Mielcarek
Mercedes Sauer
Otmar Wende
Dr. Ellen Schlosser B.A.
Annelore Bolander
Hans-Wilhelm Weller
Mark Lindau
Alwin Scholl
Ulrich Plath-Weihmann
Univ.Prof. Marko Schmiedecke MBA.
Wilma Pärtzelt-Huhn
Kristian Ritter
Gotthard Christoph
Knud Trommler
Ing. Galina Schenk
Wenke Stolze
Konstantin Eimer-Lehmann
Ing. Petar Wilmsen
Gilbert Bolnbach
Oda Henschel
Anna-Marie Heidrich
Univ.Prof. Luisa Scholz B.Eng.
Friedrich-Karl Weimer
Anna-Lena Röhrdanz B.Sc.
Univ.Prof. Gönül Meister B.Sc.
Paulina Oderwald
Sevim Vollbrecht B.A.
Dr. Caroline Ortmann
Oda Barkholz
Betty Steinberg
Bekir Cichorius-Döring
Anni Hänel B.Eng.
Prof. Wilma Mangold
