Student
Aribert Putz
Theodor Mangold
Prof. Ferdinand Gertz B.Sc.
Ing. Mariechen Nerger B.Eng.
Herr Ronny Tröst B.Sc.
Univ.Prof. Linus Seifert
Mato Patberg-Heintze
Dipl.-Ing. Edmund Franke
Linus Schuchhardt
Univ.Prof. Trudel Gierschner MBA.
Zita Klemt
Oliver Biggen
Dörte Schlosser
Carmen Weinhold
Nuran Schäfer B.A.
Monique Ullmann MBA.
Zeki Henk B.A.
Klaus-Peter Häring
Anthony Heintze
Mathilde Kreusel
Etta Hellwig
Dorothe Adler-Trubin
Caren Neureuther
Herr Janus Matthäi B.Sc.
Justus Aumann
Kenan Pieper
Susi Hendriks
Ing. Celal Textor
Dr. Peer Schwital MBA.
Leon Rust
Gert Juncken
Horst-Peter Riehl
Mike Matthäi
Jolanda Henck
Horst-Günter Renner
Sigrun Weinhold
Valerij Schulz B.A.
Jozef Kostolzin
Gordon Lehmann
Liesbeth Schlosser
Siegmar Pergande
Prof. Folkert Ernst MBA.
Birgitta Hettner
Anatol Hübel
Wolf Schottin-Gunpf
Gerda Eberhardt B.Sc.
Ing. Pauline Linke
Reni Henk
Irina Mielcarek
Nick Hermighausen-Krein
Helfried Seifert-Schönland
Alexa Dietz
Anatolij Kroker B.Eng.
Siegfried Knappe
Heidrun Stiebitz
Friedl Atzler-Süßebier
Susi Grein Groth-Steuer
Prof. Gesine Lange
Lydia Losekann MBA.
Annelie Schomber
Harm Nette
Kunigunda Hamann-Hermighausen
Artur Budig
Rainer Hänel
Univ.Prof. Cläre Weihmann B.A.
Gloria Mosemann
Engin Hofmann
Dr. Heiderose Kallert B.Eng.
Almuth Rosenow-Schönland
Univ.Prof. Annegrete Henck B.A.
Isabell Buchholz
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Sebastian Aumann
Anne Zorbach
Malte Kallert-Möchlichen
Karina Tschentscher-Butte
Univ.Prof. Teresa Weinhage B.A.
Luciano Aumann
Phillip Hermann
Jörg Speer
Ella Keudel
Frau Trude Walter B.A.
Johannes Bärer
Marica Seidel B.Eng.
Heinz-Otto Wende
Hedi Gumprich
Herr Leonid Röhricht MBA.
Univ.Prof. Mira Heser B.Sc.
Dr. Wencke Junken B.Eng.
Gerd Becker
Prof. Rolf-Dieter Fiebig MBA.
Univ.Prof. Hedwig Krein
Svea Hartung B.Eng.
Vera Losekann
Marvin Kabus B.A.
Zdravko Niemeier
Hans-Rudolf Huhn
Dr. Edith Ring B.Sc.
Ing. Marleen Hölzenbecher MBA.
Kazim Junken
Beate Johann
Constantin Kraus
Prof. Gabriella Holt B.Eng.
Janine Söding
Gusti Wagenknecht
Dipl.-Ing. Hans-Günther Schuster
Herr David Löchel B.A.
Dipl.-Ing. Alf Graf
Aziz Bauer MBA.
Martha Wilmsen
Kreszentia Bloch-Steckel
Wojciech Rogner
Cindy Schleich
Ann-Kathrin Mühle
Heinz-Georg Hornich
Willfried Werner
Mariele Stiffel B.Sc.
Herr Thomas Baum
Liesa Gröttner
Mia Paffrath-Ortmann
Grit Röhricht-Rosemann
Liliane Koch II
Camilla Kühnert MBA.
Meryem Sager
Mia Ullmann
Lieschen Steckel
Claus Heser B.Sc.
Prof. Loretta Speer MBA.
Lina Hörle
Marc Henck B.Eng.
Diether Dussen van-Rohleder
Johann Reuter
Prof. Augustin Stey B.A.
Carl Schomber-Mälzer
Ralph Hellwig-Lachmann
Ing. Pawel Rörricht
Dr. Valeri Sölzer B.Sc.
Edward Hering MBA.
Univ.Prof. Agathe Steinberg MBA.
Maya Conradi
Lambert Röhricht-Johann
Prof. Heinz-Joachim Seidel
Mariusz Wilmsen B.A.
Angela Stiffel
Änne Ring MBA.
Christos Beier
Kati Süßebier
Liesbeth Koch II
Annelene Adolph B.A.
Günter Schottin
Hans-Albert Wirth
Rose Beer
Gordana Hertrampf-Speer
Regina Fliegner
Klaus-Günter Kreusel
Gerwin Salz
Martha auch Schlauchin
Edgar Jüttner
Wulf Eberhardt
Dipl.-Ing. Hildegunde Bachmann
Kasimir Lindau
Alicja Sorgatz
Wally Wähner
Samir Krein B.A.
Frau Anny Niemeier B.A.
Ilka Zimmer-Wesack
Wanda Becker
Magdalene Mude
Sylvester Hamann
Peggy Holt
Lisette Mühle
Giesela Wagner
Anastasios Karge
Kemal Butte-Tintzmann
Ivana Mans-Bruder
Necati Lindner
Gisela Schwital-Scheel
Rosl Trupp
Dagmar Franke-Schleich
Univ.Prof. Jens Weinhage
Roselinde Zobel
Georgine Segebahn
Hedi Butte-Neuschäfer
Vitus Pruschke B.A.
Helge Finke-Wähner
Ing. Dörte Freudenberger
Mariola Heinrich
Herr Recep Junk B.A.
Sevim Schmiedt-Döhn
Dipl.-Ing. Jiri Wesack B.A.
Hans-Georg Dörschner
Ilonka Rose
Arif Heinrich
Witold Wulf
Frau Mia Kaul MBA.
Jurij Bärer
Univ.Prof. Edelgard Naser B.A.
Aleksej Lehmann
Elli Kohl
Robby Kramer
Frau Kordula Geisler MBA.
Ottilie auch Schlauchin B.Eng.
Clara Gehringer
Rolf-Peter Staude
Mark Gute-Faust
Ronald Börner-Hentschel
Hans-Friedrich Heydrich
Angelika Rosemann
Sebastian Karge
Undine Eimer
Hans-Detlef Kobelt
Univ.Prof. Marjan Graf B.Sc.
Univ.Prof. Ottmar Jopich
Bertha Ritter-Drubin
Dipl.-Ing. Julian Mühle
Larissa Mangold
Pirmin Boucsein MBA.
Konstantin Knappe
Maurizio Mans-Ullmann
Edda Gertz B.Eng.
Wilma Drub B.Eng.
Ilja Hartung
Josef Langern
Evelyn Bien
Monique Stroh
Margret Hentschel-Davids
Gernot Hornich B.A.
Otfried Ortmann
Fredy Bachmann B.Eng.
Birgid Nohlmans
Donald Schönland
Rouven Bloch B.A.
Klaus-D. Segebahn
Prof. Branko Weller MBA.
Natalja Seidel
Univ.Prof. Ignatz Baum
Christiana Bauer
Maya Lindner-Zimmer
Miroslav Krein
Christopher Gertz-Kade
Malgorzata Pieper
Mahmut Rose B.A.
Stephan Stolze-Holt
Prof. Cäcilie Staude B.A.
Kay-Uwe Trapp
Eugenie Pieper
Ing. Wladimir Karz MBA.
Dipl.-Ing. Meral Beyer
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Prof. Joanna Kreusel
Constantin Jacob B.Sc.
Karl-Peter Grein Groth B.Eng.
Dr. Annette Linke MBA.
Lilly Seifert
Frau Francesca Blümel
Martin Dörr
Wiebke Gehringer
Denis Weimer
Ing. Leonid Budig B.A.
Reingard Jungfer
Radmila Schomber B.Eng.
Friederike Geisler
Luitgard Weiß-Rörricht
Prof. Sandy Butte
Marliese Roht
Dr. Maren Steckel B.Sc.
Gertraud Tröst
Prof. Anka Schulz
Gotthilf Gehringer B.A.
Dr. Margita Stiebitz
Heide-Marie Beckmann B.Sc.
Karl-Dieter Speer
Ing. Petar Hänel MBA.
Jeanette Mälzer
Frau Hella Stumpf
Trudi Kranz B.Eng.
Robin Schuchhardt-Reichmann
Irmengard Röhrdanz
Univ.Prof. Arno Kramer B.Eng.
Dipl.-Ing. Enver Drubin
Gabi Gertz
Ehrhard Klotz
Ursel Juncken-Buchholz
Maximilian Hellwig
Claire Rogner-Scheel
Luise Junk
Liliana Gehringer
Giovanna Zobel-Liebelt
Tülay Gnatz-Sorgatz
Klaas Eckbauer
Doreen Striebitz
Necati Koch
Baptist Vogt
Elfie Preiß
Slavica Koch
Enrico Oderwald
Friedericke Bolzmann
Marijan Kruschwitz
Imke Keudel B.Sc.
Marleen Austermühle-Tintzmann
Adelheid Schinke
Rosemarie Hethur
Irmtrud Schaaf-Jacobi Jäckel
Ivan Plath
Uta Kade
Felix Wilms
Berthold Naser
Malgorzata Tlustek
Prof. Salvatore Römer
Dietlind Anders B.A.
Gabriele Käster
Gunhild Meister
Veronique Hartung-Haering
Marcel Oestrovsky
Prof. Friedbert Tschentscher B.Eng.
Friedrich-Karl Sorgatz-Schmiedt
Krzysztof Niemeier-Kostolzin
Hugo Ruppert-Kade
Egbert Gertz
Boris Kruschwitz
Univ.Prof. Luka Mende
Götz Hofmann B.A.
Hanna Knappe
Herr André Scholl B.Sc.
Elli Kuhl B.Eng.
Harriet Ullmann
Domenico Reichmann
Prof. Pedro Schmidt B.Eng.
Edit Kitzmann
Marika Zänker B.A.
Hans-Christian Eimer
Wolfhard Vogt
Herr Konstantin Neureuther B.A.
Ing. Thomas Drewes B.A.
Univ.Prof. Nevenka Döhn B.Eng.
Nelli Stiebitz
Maurice Hübel
Hajo Ziegert-Noack
Theresia Paffrath
Birger Becker
Gereon Jacob
Univ.Prof. Ahmet Birnbaum MBA.
Edda Junck-Eimer
Dipl.-Ing. Eberhardt Fechner
Herr Rupert Jüttner MBA.
Edda Stahr
Dipl.-Ing. Richard Gröttner B.A.
Ramona Römer
Prof. Heinz-Joachim Losekann
Dipl.-Ing. Corina Fischer
Kai-Uwe Sorgatz
Anette Bien
Carla Schacht
Ante Hermann-Mans
Horst-Dieter Seifert
Ing. Leopold Hoffmann
Joana Wähner
Herr Franz Geisler B.A.
Frithjof Mielcarek MBA.
Dipl.-Ing. Götz Bloch
Kaspar Hänel
Claire Faust B.A.
Lissi Rust-Metz
Univ.Prof. Fedor Eimer
Marija Stahr
Dipl.-Ing. Werner Scholl B.Eng.
Evangelia Schlosser-Boucsein
Christos Ruppert B.A.
Rosemarie Schmiedecke
Rahel Dörschner
Herta Hoffmann
Sevim Vollbrecht B.A.
Annaliese Gute
Vincenzo Lübs
Thies Pergande
Hartmuth Eberhardt
Traugott Hövel
Herr Jens Ritter B.Eng.
Silke Heydrich-Albers
Dipl.-Ing. Viktor Scheibe MBA.
Salvatore Tlustek
Ferdinand Junitz B.Eng.
Ilias Weiß MBA.
Mirella Löchel
Ing. Hans-Walter Ackermann
Ida Buchholz B.Eng.
Prof. Sergei Heser
Anselm Dowerg
Marlies Seifert-Roht
Ignatz Gutknecht
Dr. Sandra Mangold B.Sc.
Ing. Kunigunde Wieloch
Ing. Alma Rudolph B.Sc.
Silja Eberhardt-Boucsein
Univ.Prof. Hans-Eberhard Bauer
Notburga Pechel B.Eng.
Ekaterina auch Schlauchin
Thilo Tschentscher
Prof. Tilmann Franke B.Sc.
Asta Knappe
Rosalinde Trupp
Herr Karlheinz Mans
Calogero Staude B.A.
Erika Pruschke
Damaris Holsten-Schleich
Katja Heidrich
Dorle Schmidtke MBA.
Kornelius Winkler
Fredy Hiller
Herr Ilja Kroker
Jacek Bärer
Prof. Andrzej Gorlitz
Richard Mende-Hendriks
Dipl.-Ing. Utz Henschel MBA.
Theodor Striebitz
Ehrenfried Stiffel
Prof. Gunter Mentzel
Sigurd Lange-Seifert
Urban Peukert
Ernest Müller
Natalia Stroh
Henri Wirth
Prof. Mandy Heuser MBA.
Hans-Detlef Schäfer
Ing. Klothilde Hörle B.A.
Hans-Jürgen Klemm
Joanna Weinhold-Förster
Sylke Ehlert
Maria-Theresia Heinz B.A.
Hans-J. Trapp-Koch II
Univ.Prof. Olivia Gnatz MBA.
Marijan Killer
Luciano Biggen
Stavros Ortmann
Charles Heinz
Marie-Louise Wulff
Dr. Natascha Schmidtke B.Eng.
Damaris Bien
Dr. Ruben Wernecke
Dipl.-Ing. Lidija Pölitz
Tatjana Käster-Schüler
Hildegunde Aumann
Songül Tschentscher
Dr. Peggy Beyer B.Sc.
Karoline Römer
Dipl.-Ing. Mirella Franke MBA.
Vladimir Kruschwitz
Yusuf Steinberg B.A.
Faruk Döhn
Arno Ullmann
Undine Dehmel
Gertrude Lehmann-Kostolzin
Slavica Vollbrecht
Ing. Hatice Gehringer
Dr. Hans-Hermann Rosemann B.A.
Alwina Koch
Wolfhard Kensy
Univ.Prof. Helge Pieper
Lorenzo Adler-Trommler
Prof. Sibel Mälzer MBA.
Annaliese Hettner B.A.
Ronny Dippel
Almut Trupp
Hellmuth Söding-Bonbach
Hannchen Löwer B.Eng.
Bertram Caspar
Ilonka Wulf
Thorsten Gude
Kriemhild Warmer
Marie Sorgatz MBA.
Emmy Trub MBA.
Prof. Guenther Margraf B.Eng.
Norbert Eimer
Adolfine Fischer
Ibrahim Ditschlerin
Catrin Weller
Franz Lange
Waltraud Wernecke
Adele Stroh
Prof. Karl-Friedrich Geisler B.A.
Siglinde Zahn
Dr. Jonas Fechner
Dierk Buchholz MBA.
Stephanie Beer
Kira Eckbauer
Univ.Prof. Suse Lachmann B.Sc.
Irmtraud Ladeck
Meral Stroh-Henschel
Riza Römer
Alois Jungfer B.Eng.
Ingried Sauer
Filippo Jungfer-Kabus
Nikolaos Dehmel B.A.
Lieschen Rörricht
Baptist Radisch MBA.
Christian Jacobi Jäckel
Herr Hanno Hesse
Hans Dieter Fiebig B.Eng.
Ralph Schottin-Graf
Dipl.-Ing. Friedhilde Hauffer B.A.
Frau Wendelin Heinrich B.Eng.
Erhard Reinhardt
Luise Gertz-Fliegner
Ellinor Kraus
Uli Stolze MBA.
Ing. Siegmar Meyer B.A.
Constance Lange
Doris Karz
Gero Schomber
Albin Schuchhardt
Halil Warmer B.Sc.
Torben Roskoth-Wilmsen
Tobias Liebelt
Ewald Dussen van
Angela Weimer B.A.
Dina Rose
Ingried Bähr
Erol Kreusel B.Sc.
Univ.Prof. Heinz-Dieter Schuster
Concetta Seifert
Hermine Franke B.Eng.
Lothar Ladeck
Maren Bruder
Anna-Lena Röhrdanz B.Sc.
Heinrich Köster
Herr Herbert Dowerg
Helga Salz
Prof. Beatrix Döring MBA.
Giuseppe Preiß
Ralph Binner-Römer
Elmar Fröhlich
Harm Hein
Dr. Ehrhard Gieß B.Sc.
Karl-Peter Häring-Kruschwitz
Holger Gröttner B.Eng.
Antonietta Hübel
Univ.Prof. Birger Weihmann MBA.
Adele Boucsein B.Sc.
Zofia Gutknecht
Darius Loos
Univ.Prof. Claudio Schmiedt
Ditmar Dehmel
Alwine Riehl
Ing. Toralf Wiek
Lidwina Sorgatz-Weihmann
Dr. Ella Warmer
Reni Cichorius
Pavel Pärtzelt B.Sc.
Kerstin Niemeier
Gertraud Mende
Vera Scholl
Slobodan Seip
René Hölzenbecher-Berger
Univ.Prof. Franz-Xaver Girschner B.Sc.
Anneke Nohlmans
Dipl.-Ing. Milos Klemt
Hans Dieter Junk
Dr. Diedrich Krebs B.A.
Leokadia Herrmann
Dipl.-Ing. Maik Mende B.Sc.
Denny Pechel
Peer Hölzenbecher
Galina Kraus-Hermighausen
Karlheinz Stahr
Wiltrud Gröttner-Klapp
Cecilia Scholz-Barth
Reimer Kitzmann
Henriette Ladeck
Margit Müller
Timo Siering-Hübel
Carsten Hartmann
Univ.Prof. Sigurd Fischer B.Eng.
Desiree Köster
Natascha Eigenwillig
Dipl.-Ing. Cläre Geißler
Dragica Rosenow
Milan Holzapfel
Carin Pruschke
Gerhild Stiffel
Frau Alexandra Beckmann B.A.
Laurenz Scholl
Gregor Jungfer
Monica Blümel
Helma Schaaf B.A.
Konrad Schuster
Dipl.-Ing. Dursun Köhler
Dr. Halina Haase
Ute Stroh
Nils Stey
Hannelore Haase
Ing. Dirk Paffrath
Franz Josef Girschner
Frau Emma Kaul B.Eng.
Mattias Sorgatz-Haase
Heinz-Dieter Caspar-Hande
Justina Neureuther
Bogdan Zirme
Univ.Prof. Jörg Jessel MBA.
Dan Schönland MBA.
Wencke Heinrich
Dr. Melitta Mans B.Eng.
Kristin Bohlander B.Eng.
Ludwina Haase
Gaetano Söding
Gunnar Ernst
Sibylle Jäntsch
Ing. Torben Hande MBA.
Prof. Axel Davids MBA.
Prof. Auguste Scholz
Dipl.-Ing. Margarete Schmidt
Urszula Fliegner
Reinhard Eigenwillig
Andrea Hamann
Romana Wulff
Katharina Käster MBA.
Ing. Emmy Beer
Wibke Cichorius
Univ.Prof. Babette Kitzmann
Ulrich Segebahn
Berend Rörricht
Hans Jürgen Winkler
Prof. Georgia Zirme MBA.
Laura Beier
Dr. Ibrahim Dobes B.Eng.
Univ.Prof. Edmund Mentzel B.Eng.
Monique Liebelt-Ebert
Ing. Leni Rosenow B.Eng.
Dipl.-Ing. Geert Holsten B.Sc.
Kunigunda Hänel-Briemer
Prof. Aribert Eberhardt B.Sc.
Lore Tröst
Zbigniew Boucsein
Rudolf Weihmann
Dieter Trupp
Brit Lindner
Slawomir Tlustek B.A.
Gertraude Salz-Gnatz
Viviane Fritsch-Martin
Henri Wilms
Ing. Edward Salz
Filippo Juncken
Elena Pruschke
Marcel Schlosser
Dr. Ayse Martin MBA.
Ing. Marcel Gute
Horst-Peter Ritter
Resi Ullmann
Univ.Prof. Edit Ehlert B.Eng.
Heinz-Günther Mosemann
Monika Hornich MBA.
Jeannine Lehmann
Dr. Meinhard Hiller
Dipl.-Ing. Henrike Hörle B.A.
Dipl.-Ing. Rudi Wiek B.Eng.
Marten Röhricht B.Sc.
Dipl.-Ing. Bekir Boucsein
Senol Hölzenbecher
Univ.Prof. Friedl Tlustek
Massimo Hecker
Prof. Cathrin Misicher
