Student
Meral Bolnbach
Aloys Fechner
Vitali Faust B.Eng.
Siegrid Schmiedt
Juan Fechner
Heimo Ziegert
Dr. Isabell Trupp
Eberhardt Gute
Serge Kade
Czeslaw Jacob B.Eng.
Univ.Prof. Leni Bonbach
Rudi Schacht
Anika Trüb
Dr. Inna Mude MBA.
Gaetano Paffrath
Dipl.-Ing. Arthur Ziegert
Univ.Prof. Fatima Hiller B.A.
Gabriella Rädel
Prof. Marius Herrmann
Erhard Otto
Liselotte Lindau
Carmen Berger
Hedda Baum
Prof. Amelie Rose MBA.
Josefine Rosemann
Dipl.-Ing. Denise Beier
Aribert Mitschke
Francesco Nerger
Prof. Meinrad Wiek
Sibel Weller
Babett Pruschke-Schäfer
Dipl.-Ing. Christoph Schulz B.Sc.
Prof. Natalija Weinhold
Marek Ackermann
Wilfriede Misicher
Tassilo Gehringer
Sophie Scheibe
Dr. Hans-Peter Adolph MBA.
Janett Zorbach
Inken Hellwig-Hermann
Luisa Barkholz
Erica Holsten
Toni Dehmel-Striebitz
Ruth Wiek-Bloch
Heinz-Wilhelm Säuberlich MBA.
Wilhelm Walter
Kriemhild Warmer
Siegmund Hövel
Bernd-Dieter Kostolzin B.A.
Iwan Käster
Dr. Editha Rohleder
Fredo Bärer
Slawomir Drub-Gute
Ivana Mielcarek
Jens Drubin
Ekrem Spieß
Marie-Luise Ring
Burghard Albers-Berger
Reingard Cichorius
Ljudmila Krebs
Mark Lindau
Gabriela Girschner
Nadeschda Pölitz
Johann Oestrovsky
Natascha Schinke B.Eng.
Erica Lachmann
Prof. Urs Flantz
Dietrich Bien
Elzbieta Beier
Vitali Walter-Krein
Erika Pruschke
Maritta Boucsein
Ing. Anneli Nerger
Radmila Schomber B.Eng.
Lidia Butte
Annaliese Klingelhöfer
Mechtild Winkler
Ismet Kroker
Univ.Prof. Gundel Atzler B.Eng.
Jakob Döring
Maria Döring B.Sc.
Gundula Klotz
Dr. Wilfriede Reuter
Nadeschda Barkholz
Herr Hansjoachim Geisler
Frank-Michael Klemt
Desiree Köster
Ing. Lisette Kaul B.A.
Dr. Auguste Sager
Stanislav Löffler MBA.
Aleksej Lehmann
Univ.Prof. Klaus-Günter Renner B.A.
Witold Wulf
Ilka Faust
Ernst-August Gutknecht
Cornelia Radisch
Lieschen Kusch-Pechel
Hedy Loos
Sören Etzler
Ing. Wieslaw Kobelt B.Sc.
Herr Ronny Tröst B.Sc.
Ludwina Hölzenbecher
Hajo Kranz-Heser
Slawomir Ortmann
Nurten Henschel-Stroh
Martina Salz-Sorgatz
Gisa Hornig-Geißler
Gitta Römer
Stjepan Hofmann-Hethur
Elmar Fröhlich
Ing. Adalbert Heser
Paula Stroh
Barbara Kambs
Univ.Prof. Waldtraut Riehl
Heribert Austermühle-Trupp
Marc Heintze B.A.
Ruben Trubin
Janusz Kruschwitz B.Eng.
Edeltraut Klemt
Univ.Prof. Franz-Josef Zänker
Antonina Pärtzelt-Gerlach
Fatima Rörricht
Domenico Gerlach-Kramer
Dr. Lilija Dowerg MBA.
Herr Simon Fliegner MBA.
Ralph Hellwig-Lachmann
Lilly Girschner-Ritter
Dr. Renate Mende
Ing. Herbert Mühle B.Sc.
Dr. Antonia Schomber B.Sc.
Rolf-Dieter Kensy
Prof. Reimar Reinhardt MBA.
Dajana Ring
Univ.Prof. Paulo Jähn
Elif Wohlgemut
Univ.Prof. Mirella Peukert
Thorsten Gude
Ing. Tomas Fischer B.Sc.
Sybilla Hornig
Manuela Linke B.Eng.
Gisela Carsten B.Sc.
Oliver Bien
Ulrike Hiller
Prof. Catherine Knappe MBA.
Jörgen Putz B.A.
Katherina Ruppert
Antonietta Kostolzin
Dolores auch Schlauchin
Prof. Maria-Theresia Schaaf B.A.
Heinz-Günther Bohnbach
Yusuf Steinberg B.A.
Krista Putz
Margita Meister
George Käster-Eberth
Ing. Maria Lübs
Ing. Eleonora Holzapfel
Gaetano Fröhlich
Änne Möchlichen
Dr. Ruben Wernecke
Eberhard Junitz
Grit Karz
Traude Kuhl
Annegret Atzler
Hans-Gerd Preiß
Reingard Geisel
Rosa Heuser
Siegmar Ullmann-Fritsch
Herr Anton Mohaupt B.A.
Urte Caspar
Alessandro Werner
Dipl.-Ing. Ildiko Löffler B.A.
Stephen Reichmann
Jan-Peter Scheuermann-Jungfer
Krista Bohnbach
Dr. Carmela Rudolph
Kornelia Kade
Dr. Regine Gotthard
Bogdan Römer B.Eng.
Carmine Bruder-Rörricht
Ahmet Eckbauer-Sölzer
Sibilla Mälzer
Herr Jerzy Drub
Uwe Dussen van
Siglinde Kambs-Geißler
Concetta Dehmel
Henni Keudel B.Sc.
Rudolph Etzold
Lieschen Rörricht
Gabi Klapp
Paola Kroker-Klotz
Ilja Kitzmann B.A.
Friedericke Lehmann B.Sc.
Iwan Schleich
Gerlinde Albers-Hörle
Angelo Pärtzelt
Herr Mario Pergande
Marta Eigenwillig-Hörle
Ben Schomber
Carmine Hauffer
Prof. Hubert Heß
Volkhard Köster-Jüttner
Dr. Silvio Täsche
Ilja Preiß
Mareen Mies B.Eng.
Prof. Kordula Vollbrecht B.A.
Jacek Täsche
Dr. Hans-Herbert Losekann B.A.
Waldtraut Hoffmann
Irmtraut Haase-Hendriks
Waldemar Ladeck
Hans-H. Naser
Bernhard Fischer
Karolin Mitschke
Siegrun Reichmann
Branka Mentzel
Lotte Kitzmann B.A.
Gabriele Stahr
Dipl.-Ing. Albrecht Metz
Sofia Roht MBA.
Zbigniew Hahn MBA.
Nikolaos Dehmel B.A.
Prof. Natalja Käster MBA.
Nelly Schlosser
Burkard Schlosser
Hans-Detlef auch Schlauchin-Fischer
Albrecht Seifert B.Sc.
Univ.Prof. Franz-Josef Holt
Siegrid Bachmann-Schaaf
Annett Sorgatz B.Eng.
Zenon Hahn MBA.
Kirstin Kusch-Meister
Bayram Meister
Prof. Linus Kambs B.A.
