Student
Marit Thanel B.Sc.
Corinne Koch II
Danny auch Schlauchin
Woldemar Heydrich B.Eng.
Georg Misicher
Alida Trupp
Univ.Prof. Frederike Heintze
Magdalena Warmer MBA.
Lorenz Schwital-Stadelmann
Fabienne Matthäi-Heß
Dr. Elwira Hiller
Torsten Pergande
Babett Adler
Canan Beyer
Ing. Karl-Peter Weinhold B.Sc.
Ulf Kensy MBA.
Ing. Petar Hänel MBA.
Denis Etzold
Karl-Heinrich Sölzer
Hans-Michael Krein-Wernecke
Abbas Täsche
Prof. Emine Wulf B.Eng.
Isidor Niemeier
Gerda Sauer
Ing. Erica Schottin
Milka Scholl
Torben Hartung
Prof. Guiseppe Gröttner B.Sc.
Aleksej Fröhlich
Paolo Zänker MBA.
Eva Mosemann
Ing. Helmuth Bachmann B.Sc.
Marita Berger B.A.
Isabelle Förster-Beyer
Engin Hofmann
Hellmut Bruder
Univ.Prof. Waldemar Döring
Larissa Löffler
Dr. Sonia Hornich B.Eng.
Ing. Bernfried Pruschke
Giorgio Trüb
Karl-Ludwig Hoffmann
Concetta Dehmel
Dr. Lars Klemt
Paulo Trommler
Zbigniew Boucsein
Kata Gierschner
Gebhard Eberth B.Eng.
Gordon Lehmann
Cilli Siering
Ing. Elsa Liebelt
Elwira Pölitz B.Sc.
Klaus-D. Hövel
Ing. Meik Eberhardt B.A.
Evangelos Staude
Fatih Bohlander
Bernhard Rogner B.Eng.
Frau Melita Huhn
Eveline Putz
Dipl.-Ing. Frederik Rörricht B.Sc.
Ismail Koch
Karen Grein Groth-Dörschner
Vadim Jacobi Jäckel
Ilja Kitzmann B.A.
Micha Röhricht B.A.
Ing. Ralf Sölzer B.A.
Ing. Roy Dippel B.A.
Birgid Nohlmans
Hans-Bernd Eimer-Pechel
Dr. Annaliese Lindner
Viola Oderwald B.A.
Hanife Täsche-Stiffel
Miroslaw Holt
Ibrahim Eberth
Reni auch Schlauchin
Beatrix Scheibe B.Sc.
Franco Loos B.Eng.
Ilse Krebs
Ing. Siegrid Birnbaum
Jann Fröhlich
Wolfhard Kensy
Siegward Hertrampf
Univ.Prof. Jeanette Girschner B.Sc.
Mirja Schottin
Frau Natalija Stey
Valeska Blümel B.A.
Marie-Louise Hauffer
Guido Wagenknecht-Kallert
Dr. Myriam Pieper B.Eng.
Alice Hesse
Janus Walter
Pero Gnatz
Dr. Gerhart Käster
Vassilios Birnbaum
Salvatore Ruppersberger
Ing. Henrike Kramer
Univ.Prof. Vesna Hering
Oliver Bien
Prof. Heinz-Willi Lindau MBA.
Elizabeth Schlosser B.A.
Dipl.-Ing. Nina Boucsein MBA.
Ilka Lachmann
Zita Ullmann-Heydrich
